BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,1998-02-03,9.3125,1998-02-09,6.40625,2.90625,3
2,up,1998-02-09,6.40625,1998-02-18,8.0,1.59375,4
3,down,1998-02-18,8.0,1998-03-05,6.625,1.375,7
4,up,1998-03-05,6.625,1998-03-18,11.71875,5.09375,8
5,down,1998-03-18,11.71875,1998-03-27,10.375,1.34375,6
6,up,1998-03-27,10.375,1998-04-02,12.25,1.875,3
7,down,1998-04-02,12.25,1998-04-07,9.25,3.0,3
8,up,1998-04-07,9.25,1998-04-14,11.875,2.625,3
9,down,1998-04-14,11.875,1998-04-27,8.28125,3.59375,7
10,up,1998-04-27,8.28125,1998-05-04,10.28125,2.0,4
11,down,1998-05-04,10.28125,1998-05-12,8.53125,1.75,4
12,up,1998-05-12,8.53125,1998-05-22,9.71875,1.1875,5
13,down,1998-05-22,9.71875,1998-06-09,6.5,3.21875,6
14,up,1998-06-09,6.5,1998-06-24,10.78125,4.28125,6
15,down,1998-06-24,10.78125,1998-06-29,8.8125,1.96875,3
16,up,1998-06-29,8.8125,1998-07-10,11.21875,2.40625,7
17,down,1998-07-10,11.21875,1998-08-31,6.53125,4.6875,22
18,up,1998-08-31,6.53125,1998-09-08,7.4375,0.90625,4
19,down,1998-09-08,7.4375,1998-10-08,4.84375,2.59375,16
20,up,1998-10-08,4.84375,1998-10-26,8.0625,3.21875,8
21,down,1998-10-26,8.0625,1998-11-03,7.40625,0.65625,4
22,up,1998-11-03,7.40625,1998-11-09,10.0,2.59375,3
23,down,1998-11-09,10.0,1998-11-23,8.25,1.75,5
24,up,1998-11-23,8.25,1998-12-11,14.53125,6.28125,8
25,down,1998-12-11,14.53125,1998-12-18,12.375,2.15625,3
26,up,1998-12-18,12.375,1998-12-24,19.375,7.0,4
27,down,1998-12-24,19.375,1998-12-31,14.25,5.125,3
28,up,1998-12-31,14.25,1999-01-28,24.6875,10.4375,13
29,down,1999-01-28,24.6875,1999-02-10,20.0,4.6875,4
30,up,1999-02-10,20.0,1999-02-24,27.875,7.875,7
31,down,1999-02-24,27.875,1999-03-03,23.3125,4.5625,4
32,up,1999-03-03,23.3125,1999-04-13,47.0625,23.75,21
33,down,1999-04-13,47.0625,1999-04-20,25.296875,21.765625,4
34,up,1999-04-20,25.296875,1999-04-27,35.75,10.453125,4
35,down,1999-04-27,35.75,1999-05-05,22.875,12.875,4
36,up,1999-05-05,22.875,1999-05-21,36.21875,13.34375,10
37,down,1999-05-21,36.21875,1999-05-26,25.3125,10.90625,3
38,up,1999-05-26,25.3125,1999-06-02,32.0625,6.75,3
39,down,1999-06-02,32.0625,1999-06-15,24.0,8.0625,7
40,up,1999-06-15,24.0,1999-07-06,46.375,22.375,11
41,down,1999-07-06,46.375,1999-07-13,39.53125,6.84375,4
42,up,1999-07-13,39.53125,1999-07-16,48.375,8.84375,3
43,down,1999-07-16,48.375,1999-08-05,27.25,21.125,10
44,up,1999-08-05,27.25,1999-08-26,57.0,29.75,13
45,down,1999-08-26,57.0,1999-09-02,50.59375,6.40625,5
46,up,1999-09-02,50.59375,1999-09-08,58.875,8.28125,3
47,down,1999-09-08,58.875,1999-09-24,47.75,11.125,11
48,up,1999-09-24,47.75,1999-10-07,61.0,13.25,8
49,down,1999-10-07,61.0,1999-10-19,48.8125,12.1875,4
50,up,1999-10-19,48.8125,1999-11-26,101.25,52.4375,17
51,down,1999-11-26,101.25,1999-12-01,88.59375,12.65625,3
52,up,1999-12-01,88.59375,1999-12-08,143.125,54.53125,5
53,down,1999-12-08,143.125,1999-12-15,110.0,33.125,3
54,up,1999-12-15,110.0,1999-12-29,212.0,102.0,5
55,down,1999-12-29,212.0,2000-01-07,147.9375,64.0625,7
56,up,2000-01-07,147.9375,2000-01-24,215.3125,67.375,8
57,down,2000-01-24,215.3125,2000-01-31,146.625,68.6875,4
58,up,2000-01-31,146.625,2000-02-25,258.5,111.875,15
59,down,2000-02-25,258.5,2000-04-04,94.0,164.5,21
60,up,2000-04-04,94.0,2000-04-10,179.5,85.5,3
61,down,2000-04-10,179.5,2000-04-17,91.0,88.5,4
62,up,2000-04-17,91.0,2000-05-01,147.0,56.0,7
63,down,2000-05-01,147.0,2000-05-24,99.5,47.5,14
64,up,2000-05-24,99.5,2000-06-09,200.5,101.0,9
65,down,2000-06-09,200.5,2000-06-27,148.625,51.875,8
66,up,2000-06-27,148.625,2000-07-03,185.5,36.875,4
67,down,2000-07-03,185.5,2000-07-11,165.0,20.5,5
68,up,2000-07-11,165.0,2000-07-25,188.0,23.0,5
69,down,2000-07-25,188.0,2000-08-03,136.375,51.625,4
70,up,2000-08-03,136.375,2000-09-01,199.875,63.5,20
71,down,2000-09-01,199.875,2000-09-13,160.0,39.875,4
72,up,2000-09-13,160.0,2000-09-29,214.375,54.375,11
73,down,2000-09-29,214.375,2000-10-13,140.0,74.375,8
74,up,2000-10-13,140.0,2000-10-24,187.3125,47.3125,5
75,down,2000-10-24,187.3125,2000-10-30,115.8125,71.5,4
76,up,2000-10-30,115.8125,2000-11-06,146.4375,30.625,5
77,down,2000-11-06,146.4375,2000-11-29,75.5625,70.875,13
78,up,2000-11-29,75.5625,2000-12-11,120.3125,44.75,7
79,down,2000-12-11,120.3125,2000-12-21,65.375,54.9375,8
80,up,2000-12-21,65.375,2000-12-28,85.0,19.625,3
81,down,2000-12-28,85.0,2001-01-08,59.3125,25.6875,5
82,up,2001-01-08,59.3125,2001-01-19,97.75,38.4375,6
83,down,2001-01-19,97.75,2001-02-12,52.8125,44.9375,12
84,up,2001-02-12,52.8125,2001-02-15,67.0,14.1875,3
85,down,2001-02-15,67.0,2001-02-23,45.875,21.125,4
86,up,2001-02-23,45.875,2001-03-01,54.375,8.5,3
87,down,2001-03-01,54.375,2001-03-19,29.875,24.5,9
88,up,2001-03-19,29.875,2001-03-27,38.875,9.0,4
89,down,2001-03-27,38.875,2001-04-04,26.25,12.625,5
90,up,2001-04-04,26.25,2001-04-20,53.9900016784668,27.740001678466797,6
91,down,2001-04-20,53.9900016784668,2001-04-25,40.790000915527344,13.200000762939453,3
92,up,2001-04-25,40.790000915527344,2001-05-08,60.59999847412109,19.809997558593743,7
93,down,2001-05-08,60.59999847412109,2001-05-14,49.95000076293945,10.649997711181634,3
94,up,2001-05-14,49.95000076293945,2001-05-22,67.94000244140625,17.990001678466797,4
95,down,2001-05-22,67.94000244140625,2001-06-15,47.880001068115234,20.060001373291016,11
96,up,2001-06-15,47.880001068115234,2001-07-02,63.220001220703125,15.34000015258789,7
97,down,2001-07-02,63.220001220703125,2001-07-20,41.150001525878906,22.06999969482422,11
98,up,2001-07-20,41.150001525878906,2001-08-02,57.93000030517578,16.779998779296875,6
99,down,2001-08-02,57.93000030517578,2001-08-22,41.84999847412109,16.080001831054695,11
100,up,2001-08-22,41.84999847412109,2001-08-27,48.9900016784668,7.14000320434571,3
101,down,2001-08-27,48.9900016784668,2001-09-06,32.529998779296875,16.460002899169922,7
102,up,2001-09-06,32.529998779296875,2001-10-04,49.79999923706055,17.270000457763672,12
103,down,2001-10-04,49.79999923706055,2001-10-10,44.70000076293945,5.099998474121094,4
104,up,2001-10-10,44.70000076293945,2001-10-17,51.58000183105469,6.880001068115234,3
