BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,up,1988-06-29,4.0,1988-07-15,4.625,0.625,5
2,down,1988-07-15,4.625,1988-08-22,2.625,2.0,12
3,up,1988-08-22,2.625,1988-09-12,3.25,0.625,7
4,down,1988-09-12,3.25,1988-10-13,2.25,1.0,6
5,up,1988-10-13,2.25,1988-11-04,3.375,1.125,7
6,down,1988-11-04,3.375,1988-12-22,2.25,1.125,7
7,up,1988-12-22,2.25,1989-01-12,3.25,1.0,5
8,down,1989-01-12,3.25,1989-03-15,2.25,1.0,10
9,up,1989-03-15,2.25,1989-03-27,3.125,0.875,5
10,down,1989-03-27,3.125,1989-09-27,1.5,1.625,19
11,up,1989-09-27,1.5,1989-10-03,2.625,1.125,4
12,down,1989-10-03,2.625,1990-01-04,1.5,1.125,13
13,up,1990-01-04,1.5,1990-01-26,1.75,0.25,3
14,down,1990-01-26,1.75,1990-02-26,1.375,0.375,4
15,up,1990-02-26,1.375,1990-04-06,2.625,1.25,9
16,down,1990-04-06,2.625,1990-05-04,1.75,0.875,5
17,up,1990-05-04,1.75,1990-06-29,4.0,2.25,17
18,down,1990-06-29,4.0,1990-07-10,3.75,0.25,4
19,up,1990-07-10,3.75,1990-07-13,5.375,1.625,3
20,down,1990-07-13,5.375,1990-07-19,4.375,1.0,3
21,up,1990-07-19,4.375,1990-07-31,6.25,1.875,4
22,down,1990-07-31,6.25,1990-08-24,4.125,2.125,12
23,up,1990-08-24,4.125,1990-10-01,5.5,1.375,10
24,down,1990-10-01,5.5,1990-10-16,4.625,0.875,6
25,up,1990-10-16,4.625,1990-12-31,6.125,1.5,9
26,down,1990-12-31,6.125,1991-02-01,5.625,0.5,6
27,up,1991-02-01,5.625,1991-03-21,9.5,3.875,15
28,down,1991-03-21,9.5,1991-04-22,8.0,1.5,10
29,up,1991-04-22,8.0,1991-07-05,15.5,7.5,19
30,down,1991-07-05,15.5,1991-09-04,14.0,1.5,6
31,up,1991-09-04,14.0,1991-09-16,18.0,4.0,3
32,down,1991-09-16,18.0,1991-11-13,15.5,2.5,5
33,up,1991-11-13,15.5,1992-01-06,18.5,3.0,7
34,down,1992-01-06,18.5,1992-01-31,16.5,2.0,4
35,up,1992-01-31,16.5,1992-02-13,17.5,1.0,3
36,down,1992-02-13,17.5,1992-05-06,12.0,5.5,9
37,up,1992-05-06,12.0,1992-05-18,14.5,2.5,3
38,down,1992-05-18,14.5,1992-05-29,11.375,3.125,5
39,up,1992-05-29,11.375,1992-06-08,13.75,2.375,3
40,down,1992-06-08,13.75,1992-07-20,12.25,1.5,5
41,up,1992-07-20,12.25,1992-08-05,13.75,1.5,4
42,down,1992-08-05,13.75,1992-09-24,10.5,3.25,5
43,up,1992-09-24,10.5,1992-11-19,13.75,3.25,9
44,down,1992-11-19,13.75,1992-12-09,13.25,0.5,3
45,up,1992-12-09,13.25,1993-03-02,14.5,1.25,6
46,down,1993-03-02,14.5,1993-05-10,12.25,2.25,8
47,up,1993-05-10,12.25,1993-07-15,15.0,2.75,8
48,down,1993-07-15,15.0,1993-08-12,11.5,3.5,10
49,up,1993-08-12,11.5,1993-09-03,13.875,2.375,9
50,down,1993-09-03,13.875,1993-09-29,11.75,2.125,9
51,up,1993-09-29,11.75,1993-10-18,12.125,0.375,5
52,down,1993-10-18,12.125,1993-11-05,10.125,2.0,4
53,up,1993-11-05,10.125,1993-12-10,12.125,2.0,10
54,down,1993-12-10,12.125,1993-12-27,10.75,1.375,5
55,up,1993-12-27,10.75,1994-01-06,12.875,2.125,5
56,down,1994-01-06,12.875,1994-01-18,11.5,1.375,3
57,up,1994-01-18,11.5,1994-01-24,15.0,3.5,4
58,down,1994-01-24,15.0,1994-02-24,12.125,2.875,14
59,up,1994-02-24,12.125,1994-03-17,14.0,1.875,9
60,down,1994-03-17,14.0,1994-04-18,11.75,2.25,13
61,up,1994-04-18,11.75,1994-04-25,12.875,1.125,3
62,down,1994-04-25,12.875,1994-05-04,11.625,1.25,4
63,up,1994-05-04,11.625,1994-05-11,12.125,0.5,3
64,down,1994-05-11,12.125,1994-05-24,11.125,1.0,4
65,up,1994-05-24,11.125,1994-06-15,11.875,0.75,4
66,down,1994-06-15,11.875,1994-06-27,10.75,1.125,5
67,up,1994-06-27,10.75,1994-09-06,14.875,4.125,20
68,down,1994-09-06,14.875,1994-09-15,13.875,1.0,5
69,up,1994-09-15,13.875,1994-10-04,15.125,1.25,4
70,down,1994-10-04,15.125,1994-11-01,13.0,2.125,8
71,up,1994-11-01,13.0,1994-11-09,14.875,1.875,5
72,down,1994-11-09,14.875,1994-12-12,11.0,3.875,6
73,up,1994-12-12,11.0,1994-12-21,11.75,0.75,4
74,down,1994-12-21,11.75,1995-01-13,10.625,1.125,4
75,up,1995-01-13,10.625,1995-02-06,12.5,1.875,5
76,down,1995-02-06,12.5,1995-03-16,10.0,2.5,12
77,up,1995-03-16,10.0,1995-03-27,12.125,2.125,6
78,down,1995-03-27,12.125,1995-04-05,11.5,0.625,3
79,up,1995-04-05,11.5,1995-05-10,16.625,5.125,13
80,down,1995-05-10,16.625,1995-06-01,14.375,2.25,6
81,up,1995-06-01,14.375,1995-08-21,22.0,7.625,26
82,down,1995-08-21,22.0,1995-09-01,19.25,2.75,6
83,up,1995-09-01,19.25,1995-09-07,21.125,1.875,3
84,down,1995-09-07,21.125,1995-09-12,18.875,2.25,3
85,up,1995-09-12,18.875,1995-09-25,19.375,0.5,5
86,down,1995-09-25,19.375,1995-09-29,18.5,0.875,3
87,up,1995-09-29,18.5,1995-10-13,21.375,2.875,5
88,down,1995-10-13,21.375,1995-10-23,19.875,1.5,4
89,up,1995-10-23,19.875,1995-11-10,22.5,2.625,9
90,down,1995-11-10,22.5,1995-11-22,19.5,3.0,5
91,up,1995-11-22,19.5,1995-12-05,21.5,2.0,6
92,down,1995-12-05,21.5,1995-12-26,17.0,4.5,10
93,up,1995-12-26,17.0,1996-01-30,21.125,4.125,11
94,down,1996-01-30,21.125,1996-02-22,19.625,1.5,8
95,up,1996-02-22,19.625,1996-03-14,24.625,5.0,10
96,down,1996-03-14,24.625,1996-03-25,23.5,1.125,4
97,up,1996-03-25,23.5,1996-04-02,26.25,2.75,5
98,down,1996-04-02,26.25,1996-04-26,24.0,2.25,8
99,up,1996-04-26,24.0,1996-06-10,32.625,8.625,16
100,down,1996-06-10,32.625,1996-06-21,27.5,5.125,8
101,up,1996-06-21,27.5,1996-07-01,30.125,2.625,3
102,down,1996-07-01,30.125,1996-07-16,22.75,7.375,7
103,up,1996-07-16,22.75,1996-08-15,29.0,6.25,14
104,down,1996-08-15,29.0,1996-08-30,27.125,1.875,5
105,up,1996-08-30,27.125,1996-09-26,34.125,7.0,15
106,down,1996-09-26,34.125,1996-10-17,30.75,3.375,11
107,up,1996-10-17,30.75,1996-11-06,33.625,2.875,7
108,down,1996-11-06,33.625,1996-11-12,32.0,1.625,3
109,up,1996-11-12,32.0,1996-11-25,33.75,1.75,8
110,down,1996-11-25,33.75,1996-12-06,31.0,2.75,6
111,up,1996-12-06,31.0,1996-12-12,32.0,1.0,4
112,down,1996-12-12,32.0,1996-12-26,28.625,3.375,6
