BI_Index,Direction,Start_Date,Start_Price,End_Date,End_Price,Price_Change,K_Line_Count
1,down,2013-02-19,34.09000015258789,2013-02-26,31.989999771118164,2.1000003814697266,5
2,up,2013-02-26,31.989999771118164,2013-03-04,34.88999938964844,2.8999996185302734,4
3,down,2013-03-04,34.88999938964844,2013-04-05,30.56999969482422,4.319999694824219,18
4,up,2013-04-05,30.56999969482422,2013-04-10,33.7599983215332,3.1899986267089844,3
5,down,2013-04-10,33.7599983215332,2013-04-24,30.420000076293945,3.339998245239258,7
6,up,2013-04-24,30.420000076293945,2013-04-30,34.7400016784668,4.320001602172852,4
7,down,2013-04-30,34.7400016784668,2013-05-07,32.290000915527344,2.450000762939453,5
8,up,2013-05-07,32.290000915527344,2013-05-20,34.0,1.7099990844726562,9
9,down,2013-05-20,34.0,2013-07-03,28.96999931335449,5.030000686645511,25
10,up,2013-07-03,28.96999931335449,2013-07-16,31.64999961853028,2.680000305175792,6
11,down,2013-07-16,31.64999961853028,2013-08-01,29.459999084472656,2.1900005340576243,8
12,up,2013-08-01,29.459999084472656,2013-08-06,32.5,3.0400009155273438,3
13,down,2013-08-06,32.5,2013-08-30,28.809999465942383,3.690000534057617,10
14,up,2013-08-30,28.809999465942383,2013-09-19,32.900001525878906,4.090002059936523,9
15,down,2013-09-19,32.900001525878906,2013-09-30,30.93000030517578,1.970001220703125,7
16,up,2013-09-30,30.93000030517578,2013-10-04,32.560001373291016,1.6300010681152344,4
17,down,2013-10-04,32.560001373291016,2013-10-09,31.07999992370605,1.4800014495849645,3
18,up,2013-10-09,31.07999992370605,2013-10-21,33.34000015258789,2.2600002288818395,6
19,down,2013-10-21,33.34000015258789,2013-11-07,30.86000061035156,2.4799995422363317,9
20,up,2013-11-07,30.86000061035156,2013-11-14,32.18000030517578,1.3199996948242223,5
21,down,2013-11-14,32.18000030517578,2013-11-25,31.059999465942383,1.1200008392333984,5
22,up,2013-11-25,31.059999465942383,2013-12-30,32.84000015258789,1.7800006866455078,19
23,down,2013-12-30,32.84000015258789,2014-01-09,31.51000022888184,1.3299999237060511,4
24,up,2014-01-09,31.51000022888184,2014-01-21,32.09000015258789,0.5799999237060511,4
25,down,2014-01-21,32.09000015258789,2014-02-11,28.770000457763672,3.3199996948242188,12
26,up,2014-02-11,28.770000457763672,2014-02-18,30.59000015258789,1.8199996948242188,4
27,down,2014-02-18,30.59000015258789,2014-02-21,29.530000686645508,1.0599994659423828,3
28,up,2014-02-21,29.530000686645508,2014-03-04,31.299999237060547,1.769998550415039,6
29,down,2014-03-04,31.299999237060547,2014-03-13,29.059999465942383,2.239999771118164,6
30,up,2014-03-13,29.059999465942383,2014-03-21,30.43000030517578,1.3700008392333984,3
31,down,2014-03-21,30.43000030517578,2014-03-31,28.65999984741211,1.7700004577636719,4
32,up,2014-03-31,28.65999984741211,2014-04-04,30.01000022888184,1.3500003814697301,3
33,down,2014-04-04,30.01000022888184,2014-04-15,28.13999938964844,1.8700008392333984,5
34,up,2014-04-15,28.13999938964844,2014-05-13,30.86000061035156,2.720001220703118,14
35,down,2014-05-13,30.86000061035156,2014-05-21,30.239999771118164,0.6200008392333949,5
36,up,2014-05-21,30.239999771118164,2014-06-19,33.04999923706055,2.809999465942383,19
37,down,2014-06-19,33.04999923706055,2014-06-27,32.08000183105469,0.9699974060058594,5
38,up,2014-06-27,32.08000183105469,2014-07-03,32.91999816894531,0.839996337890625,3
39,down,2014-07-03,32.91999816894531,2014-07-18,32.06999969482422,0.8499984741210938,6
40,up,2014-07-18,32.06999969482422,2014-07-30,33.25,1.1800003051757812,6
41,down,2014-07-30,33.25,2014-08-08,31.670000076293945,1.5799999237060547,3
42,up,2014-08-08,31.670000076293945,2014-09-19,37.310001373291016,5.64000129699707,21
43,down,2014-09-19,37.310001373291016,2014-10-02,36.22999954223633,1.0800018310546875,6
44,up,2014-10-02,36.22999954223633,2014-10-09,37.630001068115234,1.4000015258789062,5
45,down,2014-10-09,37.630001068115234,2014-10-15,34.15999984741211,3.470001220703125,4
46,up,2014-10-15,34.15999984741211,2014-12-01,45.2400016784668,11.080001831054688,23
47,down,2014-12-01,45.2400016784668,2014-12-17,40.83000183105469,4.409999847412109,8
48,up,2014-12-17,40.83000183105469,2014-12-29,44.290000915527344,3.4599990844726562,6
49,down,2014-12-29,44.290000915527344,2015-01-14,42.290000915527344,2.0,10
50,up,2015-01-14,42.290000915527344,2015-01-23,44.81999969482422,2.529998779296875,3
51,down,2015-01-23,44.81999969482422,2015-02-02,42.369998931884766,2.450000762939453,4
52,up,2015-02-02,42.369998931884766,2015-02-12,47.400001525878906,5.030002593994141,7
53,down,2015-02-12,47.400001525878906,2015-02-20,45.11000061035156,2.2900009155273438,5
54,up,2015-02-20,45.11000061035156,2015-03-03,47.61000061035156,2.5,5
55,down,2015-03-03,47.61000061035156,2015-03-10,45.47999954223633,2.1300010681152344,3
56,up,2015-03-10,45.47999954223633,2015-03-20,47.91999816894531,2.4399986267089844,5
57,down,2015-03-20,47.91999816894531,2015-03-26,45.68999862670898,2.2299995422363352,4
58,up,2015-03-26,45.68999862670898,2015-04-13,47.43999862670898,1.75,10
