Date,Open,High,Low,Close,Volume,Ticker
1992-05-19,4.25,4.34375,4.21875,4.28125,7799600,BSX
1992-05-20,4.34375,4.375,4.3125,4.375,2560400,BSX
1992-05-21,4.375,4.375,4.3125,4.375,1854000,BSX
1992-05-22,4.40625,4.59375,4.375,4.53125,3206400,BSX
1992-05-26,4.5,4.53125,4.375,4.375,1727600,BSX
1992-05-27,4.40625,4.46875,4.40625,4.4375,794000,BSX
1992-05-28,4.46875,4.5,4.4375,4.46875,250800,BSX
1992-05-29,4.5,4.59375,4.46875,4.5625,1041600,BSX
1992-06-01,4.5625,4.65625,4.5625,4.625,859600,BSX
1992-06-02,4.6875,4.6875,4.5625,4.65625,1385600,BSX
1992-06-03,4.625,4.625,4.46875,4.5,1222000,BSX
1992-06-04,4.5,4.5,4.375,4.375,464000,BSX
1992-06-05,4.34375,4.34375,4.25,4.3125,940800,BSX
1992-06-08,4.34375,4.34375,4.3125,4.3125,844000,BSX
1992-06-09,4.3125,4.34375,4.125,4.125,1579200,BSX
1992-06-10,4.125,4.15625,4.125,4.125,676800,BSX
1992-06-11,4.15625,4.15625,4.03125,4.09375,1413600,BSX
1992-06-12,4.15625,4.21875,4.15625,4.1875,208400,BSX
1992-06-15,4.15625,4.15625,4.125,4.15625,1178000,BSX
1992-06-16,4.15625,4.15625,4.09375,4.125,256000,BSX
1992-06-17,4.09375,4.09375,3.875,3.9375,1033200,BSX
1992-06-18,3.9375,3.9375,3.90625,3.9375,277200,BSX
1992-06-19,3.90625,3.9375,3.875,3.9375,394800,BSX
1992-06-22,3.875,3.875,3.5,3.59375,752400,BSX
1992-06-23,3.65625,4.0,3.65625,3.96875,1240000,BSX
1992-06-24,4.0,4.0,3.84375,3.9375,368000,BSX
1992-06-25,3.96875,3.96875,3.8125,3.875,344400,BSX
1992-06-26,3.84375,3.875,3.8125,3.875,290000,BSX
1992-06-29,3.875,4.25,3.875,4.21875,474400,BSX
1992-06-30,4.25,4.28125,4.1875,4.28125,532400,BSX
1992-07-01,4.25,4.25,4.21875,4.21875,191200,BSX
1992-07-02,4.25,4.46875,4.25,4.4375,1210400,BSX
1992-07-06,4.4375,4.59375,4.40625,4.59375,1128400,BSX
1992-07-07,4.625,4.71875,4.59375,4.59375,784000,BSX
1992-07-08,4.625,4.625,4.40625,4.46875,355200,BSX
1992-07-09,4.46875,4.5625,4.21875,4.53125,102400,BSX
1992-07-10,4.53125,4.53125,4.4375,4.46875,129600,BSX
1992-07-13,4.46875,4.59375,4.46875,4.53125,219200,BSX
1992-07-14,4.5625,4.65625,4.53125,4.65625,225600,BSX
1992-07-15,4.65625,4.65625,4.5625,4.5625,335600,BSX
1992-07-16,4.5625,4.75,4.5625,4.75,765600,BSX
1992-07-17,4.78125,4.78125,4.625,4.65625,440000,BSX
1992-07-20,4.59375,4.65625,4.4375,4.5,201600,BSX
1992-07-21,4.53125,4.90625,4.53125,4.75,700400,BSX
1992-07-22,4.75,4.90625,4.71875,4.84375,218800,BSX
1992-07-23,4.8125,4.90625,4.78125,4.8125,330800,BSX
1992-07-24,4.75,4.78125,4.6875,4.71875,308800,BSX
1992-07-27,4.71875,4.71875,4.625,4.625,71200,BSX
