Date,Open,High,Low,Close,Volume,Ticker
1983-01-21,7.875,8.0625,7.875,7.875,562400,COO
1983-01-24,8.390625,8.4375,8.390625,8.390625,2387733,COO
1983-01-25,8.859375,8.90625,8.859375,8.859375,1234400,COO
1983-01-26,8.859375,8.90625,8.859375,8.859375,626133,COO
1983-01-27,9.328125,9.375,9.328125,9.328125,593333,COO
1983-01-28,9.234375,9.234375,9.1875,9.1875,595467,COO
1983-01-31,9.140625,9.140625,9.046875,9.046875,506667,COO
1983-02-01,8.8125,8.8125,8.765625,8.765625,317333,COO
1983-02-02,8.765625,8.765625,8.71875,8.71875,346933,COO
1983-02-03,8.8125,8.859375,8.8125,8.8125,202400,COO
1983-02-04,8.859375,8.90625,8.859375,8.859375,139467,COO
1983-02-07,8.90625,9.0,8.90625,8.90625,315467,COO
1983-02-08,8.90625,8.953125,8.90625,8.90625,216000,COO
1983-02-09,8.90625,8.90625,8.859375,8.859375,151467,COO
1983-02-10,8.90625,8.953125,8.90625,8.90625,108800,COO
1983-02-11,8.90625,8.953125,8.90625,8.90625,159733,COO
1983-02-14,8.90625,8.953125,8.90625,8.90625,260533,COO
1983-02-15,8.765625,8.765625,8.71875,8.71875,164000,COO
1983-02-16,8.765625,8.8125,8.765625,8.765625,131467,COO
1983-02-17,8.671875,8.671875,8.578125,8.578125,152267,COO
1983-02-18,8.671875,8.71875,8.671875,8.671875,112800,COO
1983-02-22,8.671875,8.765625,8.671875,8.671875,100800,COO
1983-02-23,8.671875,8.71875,8.625,8.625,127467,COO
1983-02-24,8.671875,8.71875,8.671875,8.671875,169067,COO
1983-02-25,8.71875,8.765625,8.71875,8.71875,250133,COO
1983-02-28,8.671875,8.671875,8.625,8.625,104533,COO
1983-03-01,8.296875,8.296875,8.25,8.25,160533,COO
1983-03-02,8.25,8.25,8.15625,8.15625,169333,COO
1983-03-03,8.109375,8.109375,8.0625,8.0625,80000,COO
1983-03-04,8.0625,8.109375,8.015625,8.015625,114667,COO
1983-03-07,8.15625,8.25,8.15625,8.15625,92533,COO
1983-03-08,8.53125,8.671875,8.53125,8.53125,217333,COO
1983-03-09,8.765625,8.8125,8.765625,8.765625,112800,COO
1983-03-10,8.765625,8.8125,8.625,8.625,112267,COO
1983-03-11,8.625,8.71875,8.625,8.625,35200,COO
1983-03-14,8.53125,8.53125,8.484375,8.484375,138400,COO
1983-03-15,8.4375,8.4375,8.390625,8.390625,52000,COO
1983-03-16,8.390625,8.4375,8.34375,8.34375,45333,COO
1983-03-17,8.109375,8.109375,8.0625,8.0625,44533,COO
1983-03-18,8.0625,8.109375,7.96875,7.96875,105333,COO
1983-03-21,7.96875,8.0625,7.96875,7.96875,70933,COO
1983-03-22,7.96875,7.96875,7.875,7.875,158667,COO
1983-03-23,7.96875,8.0625,7.96875,7.96875,49333,COO
1983-03-24,8.15625,8.25,8.15625,8.15625,80000,COO
1983-03-25,8.53125,8.671875,8.53125,8.53125,87200,COO
1983-03-28,8.53125,8.625,8.53125,8.53125,37867,COO
1983-03-29,8.53125,8.53125,8.484375,8.484375,40000,COO
1983-03-30,8.484375,8.53125,8.484375,8.484375,61067,COO
1983-03-31,8.484375,8.484375,8.390625,8.390625,28000,COO
1983-04-04,8.34375,8.34375,8.25,8.25,19733,COO
1983-04-05,8.109375,8.109375,8.0625,8.0625,48800,COO
1983-04-06,8.0625,8.109375,8.0625,8.0625,34133,COO
1983-04-07,8.0625,8.15625,8.0625,8.0625,68000,COO
1983-04-08,8.109375,8.15625,8.109375,8.109375,45067,COO
1983-04-11,8.15625,8.25,8.15625,8.15625,50133,COO
1983-04-12,8.203125,8.296875,8.203125,8.203125,26400,COO
1983-04-13,8.296875,8.390625,8.296875,8.296875,65600,COO
1983-04-14,8.296875,8.34375,8.25,8.25,49600,COO
1983-04-15,8.25,8.34375,8.25,8.25,68533,COO
1983-04-18,8.25,8.34375,8.25,8.25,39467,COO
1983-04-19,8.25,8.34375,8.25,8.25,55200,COO
1983-04-20,8.25,8.34375,8.25,8.25,197067,COO
1983-04-21,8.25,8.390625,8.25,8.25,139467,COO
1983-04-22,8.296875,8.4375,8.296875,8.296875,79467,COO
1983-04-25,8.4375,8.53125,8.4375,8.4375,76000,COO
1983-04-26,8.4375,8.4375,8.390625,8.390625,56800,COO
1983-04-27,8.390625,8.390625,8.296875,8.296875,84000,COO
1983-04-28,8.296875,8.34375,8.25,8.25,44533,COO
1983-04-29,8.25,8.296875,8.203125,8.203125,49600,COO
1983-05-02,8.203125,8.203125,8.15625,8.15625,77067,COO
1983-05-03,8.390625,8.53125,8.390625,8.390625,183200,COO
1983-05-04,8.953125,9.046875,8.953125,8.953125,108800,COO
1983-05-05,9.140625,9.234375,9.140625,9.140625,103733,COO
1983-05-06,9.09375,9.09375,9.0,9.0,98133,COO
1983-05-09,8.625,8.625,8.53125,8.53125,131467,COO
1983-05-10,8.53125,8.625,8.4375,8.484375,93067,COO
1983-05-11,8.484375,8.625,8.15625,8.296875,119467,COO
1983-05-12,8.25,8.25,8.015625,8.109375,101600,COO
1983-05-13,8.15625,8.25,8.15625,8.25,45867,COO
1983-05-16,8.25,8.25,7.96875,8.203125,53067,COO
1983-05-17,8.203125,8.203125,8.0625,8.203125,82933,COO
1983-05-18,8.203125,8.34375,8.15625,8.25,334933,COO
1983-05-19,8.25,8.390625,8.203125,8.34375,126400,COO
1983-05-20,8.34375,8.34375,8.25,8.25,57867,COO
1983-05-23,8.25,8.34375,8.0625,8.25,199467,COO
1983-05-24,8.296875,8.484375,8.296875,8.390625,92800,COO
1983-05-25,8.390625,8.953125,8.34375,8.953125,95467,COO
1983-05-26,8.953125,9.5625,8.953125,9.5625,205333,COO
1983-05-27,9.5625,9.9375,9.421875,9.65625,111733,COO
1983-05-31,9.65625,9.75,9.375,9.46875,75733,COO
1983-06-01,9.421875,9.421875,9.28125,9.421875,113600,COO
1983-06-02,9.421875,9.75,9.28125,9.65625,73067,COO
1983-06-03,9.65625,9.75,9.5625,9.65625,93333,COO
1983-06-06,9.65625,9.890625,9.65625,9.84375,99733,COO
1983-06-07,9.84375,9.9375,9.703125,9.796875,169333,COO
1983-06-08,9.75,9.75,9.515625,9.609375,46133,COO
1983-06-09,9.609375,9.65625,9.5625,9.5625,72533,COO
1983-06-10,9.5625,9.609375,9.46875,9.609375,119467,COO
1983-06-13,9.609375,9.65625,9.515625,9.5625,58667,COO
1983-06-14,9.5625,9.65625,9.5625,9.65625,79200,COO
1983-06-15,9.65625,9.703125,9.5625,9.609375,65600,COO
1983-06-16,9.984375,10.640625,9.984375,10.59375,511200,COO
1983-06-17,10.546875,10.546875,10.265625,10.546875,123200,COO
1983-06-20,10.546875,10.6875,10.453125,10.59375,103733,COO
1983-06-21,10.59375,10.59375,10.5,10.59375,140533,COO
1983-06-22,10.59375,10.640625,10.5,10.640625,111200,COO
1983-06-23,10.640625,10.640625,10.5,10.546875,50667,COO
1983-06-24,10.546875,10.921875,10.546875,10.875,149067,COO
1983-06-27,10.875,11.15625,10.828125,11.0625,122933,COO
1983-06-28,11.0625,11.53125,10.875,11.15625,150133,COO
1983-06-29,11.15625,11.203125,10.875,10.96875,76267,COO
1983-06-30,10.96875,11.015625,10.640625,10.6875,58133,COO
1983-07-01,10.6875,10.78125,10.59375,10.59375,51200,COO
1983-07-05,10.59375,10.6875,10.40625,10.5,194133,COO
1983-07-06,10.5,10.640625,10.453125,10.59375,38667,COO
1983-07-07,10.59375,10.640625,10.5,10.5,231733,COO
1983-07-08,10.5,10.59375,10.40625,10.5,86400,COO
1983-07-11,10.5,10.59375,10.3125,10.359375,27733,COO
1983-07-12,10.359375,10.359375,9.75,9.75,80267,COO
1983-07-13,9.75,9.84375,9.09375,9.328125,120533,COO
1983-07-14,9.328125,9.609375,9.328125,9.515625,80000,COO
1983-07-15,9.515625,9.5625,9.234375,9.28125,54933,COO
