Date,Open,High,Low,Close,Volume,Ticker
1995-11-17,8.125,8.71875,8.09375,8.625,35659200,EL
1995-11-20,8.59375,8.8125,8.1875,8.3125,8434000,EL
1995-11-21,8.25,8.28125,7.9375,8.15625,6440000,EL
1995-11-22,8.125,8.53125,8.125,8.40625,3480800,EL
1995-11-24,8.46875,8.71875,8.4375,8.71875,1279200,EL
1995-11-27,8.71875,8.90625,8.625,8.75,2403200,EL
1995-11-28,8.75,8.78125,8.5,8.625,1054800,EL
1995-11-29,8.59375,8.96875,8.5625,8.75,1331200,EL
1995-11-30,8.84375,9.1875,8.8125,9.09375,2426000,EL
1995-12-01,9.09375,9.125,8.9375,9.0,978400,EL
1995-12-04,9.03125,9.09375,8.84375,8.90625,594000,EL
1995-12-05,8.90625,8.90625,8.625,8.78125,1148800,EL
1995-12-06,8.75,9.0,8.75,8.8125,1216000,EL
1995-12-07,8.875,8.90625,8.6875,8.75,641200,EL
1995-12-08,8.71875,8.96875,8.625,8.96875,668800,EL
1995-12-11,9.0,9.09375,8.96875,9.09375,660000,EL
1995-12-12,9.03125,9.0625,8.71875,8.75,971600,EL
1995-12-13,8.8125,8.8125,8.53125,8.6875,528400,EL
1995-12-14,8.71875,8.71875,8.4375,8.4375,639200,EL
1995-12-15,8.5,8.5625,8.34375,8.375,1366400,EL
1995-12-18,8.375,8.40625,8.25,8.28125,741600,EL
1995-12-19,8.25,8.53125,8.21875,8.4375,643600,EL
1995-12-20,8.46875,8.6875,8.46875,8.625,360400,EL
1995-12-21,8.59375,8.78125,8.5625,8.6875,301600,EL
1995-12-22,8.71875,8.75,8.625,8.75,208400,EL
1995-12-26,8.71875,8.71875,8.5,8.53125,240000,EL
1995-12-27,8.625,8.84375,8.625,8.84375,351600,EL
1995-12-28,8.875,8.90625,8.78125,8.8125,344400,EL
1995-12-29,8.78125,8.84375,8.65625,8.71875,219200,EL
1996-01-02,8.71875,8.78125,8.65625,8.75,169200,EL
1996-01-03,8.78125,8.9375,8.65625,8.71875,682000,EL
1996-01-04,8.75,8.8125,8.53125,8.65625,414800,EL
1996-01-05,8.53125,8.59375,8.28125,8.4375,773600,EL
1996-01-08,8.4375,8.46875,8.375,8.46875,48800,EL
1996-01-09,8.5,8.5,8.375,8.375,864000,EL
1996-01-10,8.28125,8.375,8.125,8.28125,458400,EL
1996-01-11,8.3125,8.5625,8.3125,8.46875,477600,EL
1996-01-12,8.4375,8.6875,8.40625,8.6875,338400,EL
1996-01-15,8.6875,8.75,8.625,8.65625,580800,EL
1996-01-16,8.59375,8.59375,8.21875,8.4375,512800,EL
1996-01-17,8.3125,8.375,8.125,8.375,126400,EL
1996-01-18,8.28125,8.34375,8.03125,8.15625,696000,EL
1996-01-19,8.15625,8.1875,8.0625,8.09375,792800,EL
1996-01-22,8.09375,8.46875,8.09375,8.3125,568800,EL
1996-01-23,8.25,8.28125,8.15625,8.15625,798400,EL
1996-01-24,8.125,8.28125,8.125,8.28125,776400,EL
1996-01-25,8.25,8.5625,8.25,8.5625,1303200,EL
1996-01-26,8.5625,8.59375,8.5,8.5625,634800,EL
1996-01-29,8.59375,8.59375,8.375,8.4375,652000,EL
1996-01-30,8.4375,9.40625,8.375,9.25,2810800,EL
1996-01-31,9.1875,9.53125,9.125,9.21875,1136400,EL
1996-02-01,9.1875,9.21875,8.84375,9.03125,516800,EL
1996-02-02,9.09375,9.3125,9.09375,9.25,702400,EL
1996-02-05,9.3125,9.46875,9.25,9.40625,756400,EL
1996-02-06,9.40625,9.5625,9.375,9.46875,455200,EL
1996-02-07,9.53125,9.84375,9.5,9.78125,650800,EL
1996-02-08,9.75,9.8125,9.53125,9.5625,571600,EL
1996-02-09,9.625,9.625,9.46875,9.59375,520800,EL
1996-02-12,9.53125,9.5625,9.25,9.34375,619200,EL
1996-02-13,9.25,9.28125,9.125,9.1875,204400,EL
1996-02-14,9.21875,9.4375,9.15625,9.15625,410000,EL
1996-02-15,9.28125,9.4375,9.28125,9.34375,348800,EL
1996-02-16,9.34375,9.34375,9.15625,9.1875,322400,EL
1996-02-20,9.0625,9.1875,8.9375,9.0625,633200,EL
1996-02-21,9.09375,9.21875,9.09375,9.125,497600,EL
1996-02-22,9.125,9.125,8.78125,9.09375,1184000,EL
1996-02-23,9.125,9.34375,9.09375,9.3125,532400,EL
1996-02-26,9.3125,9.34375,9.1875,9.25,359600,EL
1996-02-27,9.3125,9.375,9.125,9.15625,1742400,EL
1996-02-28,9.1875,9.25,9.1875,9.21875,921600,EL
1996-02-29,9.21875,9.375,9.125,9.15625,812400,EL
1996-03-01,9.28125,9.53125,9.21875,9.46875,605600,EL
1996-03-04,9.5,9.5,9.3125,9.375,650800,EL
1996-03-05,9.3125,9.46875,9.28125,9.40625,511200,EL
1996-03-06,9.4375,9.46875,9.3125,9.3125,445600,EL
1996-03-07,9.28125,9.34375,9.203125,9.21875,547600,EL
1996-03-08,9.0625,9.21875,8.84375,9.0,625200,EL
1996-03-11,9.0,9.0,8.84375,8.875,217200,EL
1996-03-12,8.90625,8.90625,8.40625,8.65625,598000,EL
1996-03-13,8.6875,8.9375,8.59375,8.90625,335600,EL
1996-03-14,8.90625,8.96875,8.84375,8.90625,273600,EL
1996-03-15,8.96875,8.96875,8.625,8.71875,371600,EL
1996-03-18,8.75,8.96875,8.75,8.96875,257600,EL
1996-03-19,8.96875,8.96875,8.75,8.90625,276800,EL
1996-03-20,8.875,8.90625,8.65625,8.71875,236400,EL
1996-03-21,8.71875,8.71875,8.59375,8.65625,520000,EL
1996-03-22,8.65625,8.65625,8.59375,8.65625,198000,EL
1996-03-25,8.8125,8.8125,8.71875,8.78125,284000,EL
1996-03-26,8.8125,9.21875,8.78125,9.0,327200,EL
1996-03-27,9.0625,9.1875,9.03125,9.09375,275600,EL
1996-03-28,9.15625,9.21875,9.0625,9.09375,236800,EL
1996-03-29,9.09375,9.125,8.90625,8.9375,280800,EL
1996-04-01,8.96875,9.09375,8.84375,9.09375,214800,EL
1996-04-02,9.03125,9.09375,8.875,8.90625,640400,EL
1996-04-03,8.84375,8.84375,8.6875,8.78125,164400,EL
1996-04-04,8.84375,8.84375,8.6875,8.78125,82400,EL
1996-04-08,8.65625,8.6875,8.59375,8.6875,186000,EL
1996-04-09,8.71875,8.71875,8.65625,8.6875,285200,EL
1996-04-10,8.6875,8.6875,8.5625,8.65625,228000,EL
1996-04-11,8.6875,8.71875,8.625,8.65625,222400,EL
1996-04-12,8.625,8.75,8.625,8.75,238400,EL
1996-04-15,8.78125,8.9375,8.75,8.84375,185600,EL
1996-04-16,8.78125,8.875,8.75,8.875,159600,EL
1996-04-17,8.84375,8.84375,8.5,8.625,766000,EL
1996-04-18,8.625,8.625,8.25,8.4375,1770000,EL
1996-04-19,8.4375,8.59375,8.4375,8.59375,429200,EL
1996-04-22,8.5625,8.65625,8.5,8.65625,118800,EL
1996-04-23,8.625,8.6875,8.46875,8.5,206000,EL
1996-04-24,8.4375,8.4375,8.25,8.3125,1152400,EL
1996-04-25,8.3125,8.34375,8.0,8.34375,1270800,EL
1996-04-26,8.34375,9.5,8.28125,9.40625,3303600,EL
1996-04-29,9.3125,9.875,9.28125,9.5,2256400,EL
1996-04-30,9.4375,9.46875,9.15625,9.15625,771200,EL
1996-05-01,9.1875,9.1875,9.03125,9.125,303600,EL
1996-05-02,9.0625,9.28125,9.0625,9.15625,489600,EL
1996-05-03,9.1875,9.1875,9.0,9.125,1512800,EL
1996-05-06,9.125,9.28125,9.125,9.15625,308400,EL
1996-05-07,9.125,9.15625,9.09375,9.09375,508800,EL
1996-05-08,9.0625,9.25,8.96875,9.21875,362400,EL
1996-05-09,9.375,9.4375,9.25,9.3125,279200,EL
1996-05-10,9.375,9.40625,9.25,9.28125,74000,EL
1996-05-13,9.21875,9.25,9.1875,9.21875,198800,EL
1996-05-14,9.1875,9.1875,9.03125,9.125,256400,EL
1996-05-15,9.15625,9.15625,8.96875,9.0,752800,EL
1996-05-16,9.1875,9.65625,9.1875,9.46875,1938000,EL
1996-05-17,9.59375,9.625,9.46875,9.46875,601600,EL
1996-05-20,9.4375,9.53125,9.28125,9.40625,448000,EL
1996-05-21,9.46875,9.46875,9.125,9.15625,209200,EL
1996-05-22,9.125,9.125,8.875,9.09375,368800,EL
1996-05-23,9.09375,9.125,9.0625,9.0625,615200,EL
1996-05-24,9.03125,9.125,9.03125,9.125,340400,EL
1996-05-28,9.09375,9.5,9.09375,9.4375,999200,EL
1996-05-29,9.5,9.625,9.375,9.40625,872400,EL
1996-05-30,9.40625,9.6875,9.375,9.59375,332000,EL
1996-05-31,9.5625,9.6875,9.5,9.5,531200,EL
1996-06-03,9.4375,9.53125,9.375,9.4375,535600,EL
1996-06-04,9.40625,9.46875,9.3125,9.4375,875200,EL
1996-06-05,9.5,9.96875,9.5,9.875,684800,EL
1996-06-06,9.875,10.125,9.875,10.0,804400,EL
1996-06-07,9.875,10.0,9.75,10.0,345600,EL
1996-06-10,10.0,10.0625,9.875,9.9375,269200,EL
1996-06-11,9.96875,10.25,9.9375,10.09375,580400,EL
1996-06-12,10.0625,10.375,10.0625,10.1875,489200,EL
1996-06-13,10.1875,10.3125,10.03125,10.15625,193600,EL
1996-06-14,10.125,10.125,9.96875,10.0,148400,EL
1996-06-17,9.90625,9.90625,9.34375,9.46875,3204400,EL
1996-06-18,9.5625,9.6875,9.40625,9.46875,926000,EL
1996-06-19,9.46875,9.46875,9.34375,9.4375,302000,EL
1996-06-20,9.46875,9.5,9.34375,9.46875,259600,EL
1996-06-21,9.46875,9.75,9.46875,9.75,166400,EL
1996-06-24,9.8125,9.84375,9.6875,9.75,332000,EL
1996-06-25,9.75,10.03125,9.75,9.96875,723600,EL
1996-06-26,10.09375,10.3125,10.03125,10.25,425200,EL
1996-06-27,10.25,10.5625,10.1875,10.53125,568000,EL
1996-06-28,10.75,11.0,10.5625,10.5625,1070400,EL
1996-07-01,10.75,10.84375,10.6875,10.6875,520800,EL
1996-07-02,10.65625,10.71875,10.5,10.625,356800,EL
1996-07-03,10.53125,10.53125,10.25,10.4375,1087600,EL
1996-07-05,10.3125,10.5,10.25,10.46875,157200,EL
1996-07-08,10.40625,10.4375,10.3125,10.34375,358800,EL
1996-07-09,10.3125,10.46875,10.3125,10.4375,110800,EL
1996-07-10,10.46875,10.5,10.3125,10.34375,621600,EL
1996-07-11,10.25,10.25,9.5625,9.90625,619600,EL
1996-07-12,10.0,10.0,9.75,9.75,129200,EL
1996-07-15,9.6875,9.6875,9.15625,9.1875,337600,EL
1996-07-16,9.0625,9.4375,8.6875,9.4375,652000,EL
1996-07-17,9.5,9.71875,9.28125,9.34375,601600,EL
1996-07-18,9.375,9.78125,9.375,9.78125,711600,EL
1996-07-19,9.78125,9.78125,9.6875,9.6875,478400,EL
1996-07-22,9.71875,9.78125,9.5625,9.78125,107200,EL
1996-07-23,9.75,10.0,9.71875,9.75,183600,EL
1996-07-24,9.625,9.625,9.34375,9.40625,250000,EL
1996-07-25,9.40625,9.5625,9.40625,9.53125,292800,EL
1996-07-26,9.5625,9.65625,9.5625,9.5625,138000,EL
1996-07-29,9.59375,9.59375,9.4375,9.5,235600,EL
1996-07-30,9.5625,9.65625,9.5,9.65625,566000,EL
1996-07-31,9.625,9.75,9.53125,9.625,317600,EL
1996-08-01,9.6875,9.8125,9.59375,9.8125,237600,EL
1996-08-02,9.75,9.78125,9.5,9.59375,844800,EL
1996-08-05,9.59375,9.59375,9.53125,9.5625,139600,EL
1996-08-06,9.59375,9.59375,9.5625,9.59375,132400,EL
1996-08-07,9.59375,9.625,9.5625,9.59375,95200,EL
1996-08-08,9.59375,9.59375,9.5625,9.5625,37600,EL
1996-08-09,9.53125,9.65625,9.5,9.5,70400,EL
1996-08-12,9.53125,9.625,9.4375,9.625,174400,EL
1996-08-13,9.625,10.0625,9.625,10.0625,2547600,EL
1996-08-14,10.0625,10.1875,10.0,10.1875,450400,EL
1996-08-15,10.1875,10.71875,10.09375,10.625,820800,EL
1996-08-16,10.59375,10.65625,10.40625,10.40625,270000,EL
1996-08-19,10.5,10.6875,10.5,10.625,288400,EL
1996-08-20,10.625,11.0625,10.5625,10.96875,356000,EL
1996-08-21,10.84375,10.90625,10.65625,10.78125,316800,EL
1996-08-22,10.78125,10.8125,10.71875,10.75,150000,EL
1996-08-23,10.71875,10.78125,10.6875,10.6875,137600,EL
1996-08-26,10.75,10.75,10.625,10.71875,116000,EL
1996-08-27,10.6875,10.78125,10.6875,10.75,158400,EL
1996-08-28,10.8125,11.0625,10.8125,10.9375,187600,EL
1996-08-29,11.0,11.0,10.8125,10.84375,390400,EL
1996-08-30,10.84375,10.84375,10.6875,10.75,152800,EL
1996-09-03,10.6875,10.75,10.5625,10.5625,407600,EL
1996-09-04,10.53125,10.625,10.46875,10.5,524400,EL
1996-09-05,10.53125,10.6875,10.5,10.65625,190000,EL
1996-09-06,10.5625,11.09375,10.5625,11.0625,462000,EL
1996-09-09,11.0625,11.875,11.0625,11.6875,1454800,EL
1996-09-10,11.5625,11.5625,11.40625,11.5,1861200,EL
1996-09-11,11.375,11.375,10.75,10.96875,1326400,EL
1996-09-12,11.03125,11.03125,10.6875,10.875,834800,EL
1996-09-13,10.9375,11.0625,10.8125,10.8125,571600,EL
1996-09-16,10.875,10.90625,10.625,10.65625,316000,EL
1996-09-17,10.53125,10.75,10.25,10.71875,1416000,EL
1996-09-18,10.71875,10.71875,10.40625,10.59375,398800,EL
1996-09-19,10.375,10.5,10.125,10.5,1142400,EL
1996-09-20,10.53125,10.5625,10.375,10.5625,351200,EL
1996-09-23,10.59375,10.59375,10.46875,10.53125,284400,EL
1996-09-24,10.5625,11.0,10.5625,10.9375,693200,EL
1996-09-25,10.875,10.90625,10.78125,10.8125,345600,EL
1996-09-26,10.8125,10.96875,10.8125,10.875,436000,EL
1996-09-27,10.9375,11.3125,10.9375,11.21875,251600,EL
1996-09-30,11.21875,11.46875,11.21875,11.21875,360800,EL
1996-10-01,11.25,11.3125,11.0,11.0,314000,EL
1996-10-02,10.96875,11.0625,10.96875,11.0,334800,EL
1996-10-03,11.0,11.03125,10.875,11.03125,178400,EL
1996-10-04,11.03125,11.3125,11.03125,11.21875,440400,EL
1996-10-07,11.21875,11.21875,11.0,11.0,54000,EL
1996-10-08,11.0,11.15625,10.9375,11.09375,222000,EL
1996-10-09,11.15625,11.1875,10.6875,10.71875,259600,EL
1996-10-10,10.71875,10.96875,10.6875,10.90625,198800,EL
1996-10-11,10.9375,11.125,10.9375,11.03125,171200,EL
1996-10-14,11.0625,11.3125,11.03125,11.25,270800,EL
1996-10-15,11.28125,11.28125,11.125,11.25,238000,EL
1996-10-16,11.21875,11.28125,11.1875,11.25,250800,EL
1996-10-17,11.28125,11.34375,11.21875,11.21875,126800,EL
