Date,Open,High,Low,Close,Volume,Ticker
1973-02-21,4.546875,4.546875,4.546875,4.546875,20000,GWW
1973-02-22,4.578125,4.578125,4.578125,4.578125,6400,GWW
1973-02-23,4.734375,4.734375,4.734375,4.734375,43200,GWW
1973-02-26,4.734375,4.734375,4.734375,4.734375,4800,GWW
1973-02-27,4.671875,4.671875,4.671875,4.671875,1600,GWW
1973-02-28,4.625,4.625,4.625,4.625,65600,GWW
1973-03-01,4.640625,4.640625,4.640625,4.640625,3200,GWW
1973-03-02,4.625,4.625,4.625,4.625,1600,GWW
1973-03-05,4.59375,4.59375,4.59375,4.59375,14400,GWW
1973-03-06,4.609375,4.609375,4.609375,4.609375,108000,GWW
1973-03-07,4.5,4.5,4.5,4.5,36000,GWW
1973-03-08,4.5,4.5,4.5,4.5,8000,GWW
1973-03-09,4.375,4.375,4.375,4.375,16800,GWW
1973-03-12,4.25,4.25,4.25,4.25,17600,GWW
1973-03-13,4.3125,4.3125,4.3125,4.3125,14400,GWW
1973-03-14,4.265625,4.265625,4.265625,4.265625,13600,GWW
1973-03-15,4.25,4.25,4.25,4.25,28000,GWW
1973-03-16,4.25,4.25,4.25,4.25,121600,GWW
1973-03-19,4.265625,4.265625,4.265625,4.265625,16800,GWW
1973-03-20,4.21875,4.21875,4.21875,4.21875,20000,GWW
1973-03-21,4.15625,4.15625,4.15625,4.15625,16800,GWW
1973-03-22,3.890625,3.890625,3.890625,3.890625,16000,GWW
1973-03-23,3.8125,3.8125,3.8125,3.8125,44000,GWW
1973-03-26,3.78125,3.78125,3.78125,3.78125,25600,GWW
1973-03-27,4.0,4.0,4.0,4.0,25600,GWW
1973-03-28,4.234375,4.234375,4.234375,4.234375,12800,GWW
1973-03-29,4.375,4.375,4.375,4.375,25600,GWW
1973-03-30,4.375,4.375,4.375,4.375,35200,GWW
1973-04-02,4.34375,4.34375,4.34375,4.34375,16000,GWW
1973-04-03,4.203125,4.203125,4.203125,4.203125,127200,GWW
1973-04-04,4.09375,4.09375,4.09375,4.09375,32800,GWW
1973-04-05,4.0,4.0,4.0,4.0,29600,GWW
1973-04-06,3.90625,3.90625,3.90625,3.90625,55200,GWW
1973-04-09,4.03125,4.03125,4.03125,4.03125,36000,GWW
1973-04-10,4.125,4.125,4.125,4.125,12000,GWW
1973-04-11,4.125,4.125,4.125,4.125,53600,GWW
1973-04-12,4.125,4.125,4.125,4.125,16000,GWW
1973-04-13,4.09375,4.09375,4.09375,4.09375,12000,GWW
1973-04-16,3.96875,3.96875,3.96875,3.96875,24000,GWW
1973-04-17,4.03125,4.03125,4.03125,4.03125,12800,GWW
1973-04-18,4.03125,4.03125,4.03125,4.03125,2400,GWW
1973-04-19,4.0625,4.0625,4.0625,4.0625,25600,GWW
1973-04-23,4.125,4.125,4.125,4.125,10400,GWW
1973-04-24,4.0625,4.0625,4.0625,4.0625,3200,GWW
1973-04-25,4.0625,4.0625,4.0625,4.0625,12800,GWW
1973-04-26,4.09375,4.09375,4.09375,4.09375,25600,GWW
1973-04-27,4.078125,4.078125,4.078125,4.078125,4000,GWW
1973-04-30,4.015625,4.015625,4.015625,4.015625,20000,GWW
1973-05-01,3.8125,3.8125,3.8125,3.8125,41600,GWW
1973-05-02,3.875,3.875,3.875,3.875,38400,GWW
1973-05-03,3.90625,4.0,3.90625,4.0,13600,GWW
1973-05-04,4.03125,4.171875,4.03125,4.125,13600,GWW
1973-05-07,4.09375,4.09375,4.0625,4.0625,4800,GWW
1973-05-08,4.0625,4.09375,3.96875,4.0,7200,GWW
1973-05-09,3.96875,3.96875,3.875,3.921875,283200,GWW
1973-05-10,3.921875,3.984375,3.921875,3.984375,4000,GWW
1973-05-11,3.984375,3.984375,3.953125,3.953125,24800,GWW
1973-05-14,3.921875,3.921875,3.875,3.875,10400,GWW
1973-05-15,3.875,3.875,3.84375,3.84375,57600,GWW
1973-05-16,3.8125,3.8125,3.796875,3.796875,121600,GWW
1973-05-17,3.796875,3.8125,3.734375,3.734375,23200,GWW
1973-05-18,3.734375,3.734375,3.46875,3.46875,49600,GWW
1973-05-21,3.46875,3.46875,3.375,3.40625,60000,GWW
1973-05-22,3.40625,3.5,3.40625,3.484375,39200,GWW
1973-05-23,3.5,3.625,3.5,3.625,9600,GWW
1973-05-24,3.625,3.703125,3.625,3.703125,9600,GWW
1973-05-25,3.8125,3.921875,3.8125,3.828125,50400,GWW
1973-05-29,3.828125,3.890625,3.8125,3.8125,35200,GWW
1973-05-30,3.78125,3.78125,3.65625,3.65625,18400,GWW
1973-05-31,3.625,3.625,3.546875,3.546875,10400,GWW
1973-06-01,3.53125,3.53125,3.5,3.53125,38400,GWW
1973-06-04,3.53125,3.53125,3.46875,3.5,30400,GWW
1973-06-05,3.5,3.6875,3.5,3.625,22400,GWW
1973-06-06,3.59375,3.59375,3.5,3.515625,16800,GWW
1973-06-07,3.515625,3.5625,3.5,3.5625,11200,GWW
1973-06-08,3.578125,3.609375,3.578125,3.578125,11200,GWW
1973-06-11,3.609375,3.640625,3.609375,3.625,4800,GWW
1973-06-12,3.671875,3.734375,3.671875,3.734375,4000,GWW
1973-06-13,3.75,3.78125,3.75,3.75,15200,GWW
1973-06-14,3.75,3.890625,3.703125,3.875,19200,GWW
1973-06-15,3.84375,3.84375,3.75,3.75,70400,GWW
1973-06-18,3.71875,3.71875,3.6875,3.6875,27200,GWW
1973-06-19,3.71875,3.75,3.71875,3.75,1600,GWW
1973-06-20,3.71875,3.71875,3.6875,3.6875,47200,GWW
1973-06-21,3.671875,3.671875,3.5,3.5,392000,GWW
1973-06-22,3.5,3.5,3.5,3.5,14400,GWW
1973-06-25,3.46875,3.46875,3.453125,3.453125,6400,GWW
1973-06-26,3.453125,3.53125,3.4375,3.5,11200,GWW
1973-06-27,3.53125,3.53125,3.53125,3.53125,800,GWW
1973-06-28,3.53125,3.625,3.515625,3.625,8000,GWW
1973-06-29,3.59375,3.59375,3.5625,3.5625,3200,GWW
1973-07-02,3.53125,3.53125,3.5,3.5,40800,GWW
1973-07-03,3.515625,3.546875,3.515625,3.546875,9600,GWW
1973-07-05,3.53125,3.53125,3.515625,3.53125,3200,GWW
1973-07-06,3.53125,3.53125,3.484375,3.484375,176800,GWW
1973-07-09,3.5,3.546875,3.5,3.546875,16000,GWW
1973-07-10,3.5625,3.625,3.5625,3.625,10400,GWW
1973-07-11,3.640625,3.671875,3.640625,3.640625,13600,GWW
1973-07-12,3.6875,3.75,3.6875,3.75,10400,GWW
1973-07-13,3.75,3.75,3.71875,3.71875,11200,GWW
1973-07-16,3.71875,3.71875,3.71875,3.71875,7200,GWW
1973-07-17,3.75,3.875,3.75,3.875,9600,GWW
1973-07-18,3.875,3.875,3.875,3.875,0,GWW
1973-07-19,3.90625,4.03125,3.90625,4.03125,8000,GWW
1973-07-20,4.0625,4.09375,4.0625,4.09375,4000,GWW
1973-07-23,4.28125,4.484375,4.28125,4.484375,36800,GWW
1973-07-24,4.484375,4.515625,4.484375,4.484375,20800,GWW
1973-07-25,4.5,4.5625,4.5,4.5625,9600,GWW
1973-07-26,4.5625,4.6875,4.5625,4.6875,28000,GWW
1973-07-27,4.71875,4.75,4.71875,4.75,47200,GWW
1973-07-30,4.75,4.75,4.671875,4.75,17600,GWW
1973-07-31,4.71875,4.71875,4.71875,4.71875,800,GWW
1973-08-01,4.6875,4.6875,4.5,4.5,24000,GWW
1973-08-02,4.46875,4.46875,4.40625,4.40625,16800,GWW
1973-08-03,4.40625,4.40625,4.40625,4.40625,0,GWW
1973-08-06,4.40625,4.484375,4.40625,4.484375,16000,GWW
1973-08-07,4.5,4.5625,4.5,4.5625,10400,GWW
1973-08-08,4.5625,4.5625,4.546875,4.546875,15200,GWW
1973-08-09,4.546875,4.546875,4.5,4.546875,212800,GWW
1973-08-10,4.546875,4.546875,4.5,4.5,24000,GWW
1973-08-13,4.484375,4.484375,4.46875,4.46875,12800,GWW
1973-08-14,4.46875,4.5,4.453125,4.453125,13600,GWW
1973-08-15,4.453125,4.484375,4.40625,4.40625,20000,GWW
1973-08-16,4.4375,4.46875,4.4375,4.46875,8800,GWW
1973-08-17,4.46875,4.46875,4.46875,4.46875,0,GWW
1973-08-20,4.46875,4.5,4.46875,4.46875,10400,GWW
1973-08-21,4.46875,4.46875,4.328125,4.328125,28000,GWW
1973-08-22,4.328125,4.375,4.3125,4.3125,27200,GWW
1973-08-23,4.359375,4.375,4.359375,4.375,70400,GWW
1973-08-24,4.375,4.375,4.375,4.375,164000,GWW
1973-08-27,4.375,4.40625,4.375,4.40625,7200,GWW
1973-08-28,4.40625,4.40625,4.375,4.375,16800,GWW
1973-08-29,4.375,4.421875,4.375,4.421875,35200,GWW
1973-08-30,4.421875,4.4375,4.375,4.421875,26400,GWW
1973-08-31,4.421875,4.421875,4.421875,4.421875,800,GWW
1973-09-04,4.4375,4.46875,4.4375,4.46875,10400,GWW
1973-09-05,4.484375,4.5,4.484375,4.5,15200,GWW
1973-09-06,4.5,4.546875,4.484375,4.546875,40000,GWW
1973-09-07,4.546875,4.625,4.546875,4.625,6400,GWW
1973-09-10,4.65625,4.6875,4.65625,4.6875,3200,GWW
1973-09-11,4.65625,4.65625,4.625,4.625,41600,GWW
1973-09-12,4.625,4.625,4.53125,4.53125,15200,GWW
1973-09-13,4.5,4.5,4.5,4.5,8000,GWW
1973-09-14,4.5,4.53125,4.5,4.5,9600,GWW
1973-09-17,4.5,4.5,4.46875,4.484375,10400,GWW
1973-09-18,4.515625,4.53125,4.515625,4.53125,8800,GWW
1973-09-19,4.53125,4.5625,4.5,4.53125,8800,GWW
1973-09-20,4.625,4.71875,4.625,4.71875,20000,GWW
1973-09-21,4.75,4.8125,4.75,4.796875,68800,GWW
1973-09-24,4.796875,4.9375,4.796875,4.9375,88800,GWW
1973-09-25,4.90625,4.90625,4.8125,4.8125,78400,GWW
1973-09-26,4.78125,4.78125,4.71875,4.75,16800,GWW
1973-09-27,4.75,4.75,4.71875,4.75,10400,GWW
1973-09-28,4.734375,4.734375,4.703125,4.703125,7200,GWW
1973-10-01,4.703125,4.78125,4.6875,4.78125,56800,GWW
1973-10-02,4.78125,4.796875,4.765625,4.765625,8000,GWW
1973-10-03,4.765625,4.8125,4.75,4.8125,48800,GWW
1973-10-04,4.84375,4.859375,4.84375,4.859375,8800,GWW
1973-10-05,4.859375,5.0,4.859375,5.0,78400,GWW
1973-10-08,4.984375,4.984375,4.921875,4.921875,7200,GWW
1973-10-09,4.921875,5.0,4.890625,4.96875,20800,GWW
1973-10-10,4.96875,4.96875,4.875,4.96875,11200,GWW
1973-10-11,5.0,5.0625,5.0,5.0625,32800,GWW
1973-10-12,5.0625,5.109375,5.0,5.0,13600,GWW
1973-10-15,5.0,5.0,4.96875,4.96875,20800,GWW
1973-10-16,4.9375,4.9375,4.875,4.875,13600,GWW
1973-10-17,4.875,4.90625,4.875,4.875,1600,GWW
1973-10-18,4.90625,5.0,4.90625,5.0,10400,GWW
1973-10-19,5.0,5.125,4.96875,5.125,23200,GWW
1973-10-22,5.03125,5.03125,5.03125,5.03125,9600,GWW
1973-10-23,5.03125,5.0625,4.96875,5.0,50400,GWW
1973-10-24,5.0,5.0,4.96875,4.96875,24000,GWW
1973-10-25,4.96875,5.0625,4.9375,5.0625,13600,GWW
1973-10-26,5.0625,5.15625,5.03125,5.15625,8800,GWW
1973-10-29,5.15625,5.265625,5.15625,5.21875,36800,GWW
1973-10-30,5.21875,5.21875,5.1875,5.1875,10400,GWW
1973-10-31,5.3125,5.421875,5.3125,5.421875,23200,GWW
1973-11-01,5.46875,5.59375,5.46875,5.59375,28000,GWW
1973-11-02,5.59375,5.625,5.5625,5.59375,47200,GWW
1973-11-05,5.59375,5.609375,5.40625,5.40625,136800,GWW
1973-11-06,5.34375,5.34375,5.21875,5.21875,27200,GWW
1973-11-07,5.21875,5.28125,5.21875,5.28125,4800,GWW
1973-11-08,5.3125,5.375,5.3125,5.375,16000,GWW
1973-11-09,5.40625,5.4375,5.40625,5.40625,10400,GWW
1973-11-12,5.40625,5.40625,5.25,5.25,24800,GWW
1973-11-13,5.25,5.25,5.21875,5.21875,24000,GWW
1973-11-14,5.21875,5.25,5.21875,5.21875,88800,GWW
