Date,Open,High,Low,Close,Volume,Ticker
1999-07-29,19.125,19.875,18.75,18.75,4780800,LII
1999-07-30,19.0,19.1875,18.625,19.1875,1036200,LII
1999-08-02,19.0,19.0,18.75,18.75,168800,LII
1999-08-03,18.75,18.8125,18.25,18.75,246200,LII
1999-08-04,18.75,18.75,18.125,18.625,178200,LII
1999-08-05,18.625,18.625,17.875,18.125,67700,LII
1999-08-06,18.125,18.1875,17.375,17.5,103900,LII
1999-08-09,17.4375,17.5625,17.1875,17.375,75800,LII
1999-08-10,17.25,17.25,16.75,17.0,81500,LII
1999-08-11,17.0,17.4375,17.0,17.4375,18700,LII
1999-08-12,18.25,18.25,17.625,17.75,63400,LII
1999-08-13,17.875,17.9375,17.1875,17.1875,62700,LII
1999-08-16,17.0,17.0,16.25,16.4375,72600,LII
1999-08-17,16.4375,16.875,16.375,16.625,37400,LII
1999-08-18,16.625,16.6875,16.375,16.375,36800,LII
1999-08-19,16.375,16.625,16.375,16.5,32600,LII
1999-08-20,16.4375,17.1875,16.4375,17.0,136100,LII
1999-08-23,17.875,17.9375,17.25,17.375,193800,LII
1999-08-24,17.125,17.4375,16.875,17.0625,126600,LII
1999-08-25,16.875,17.0,16.5,16.625,125500,LII
1999-08-26,16.625,17.0,16.625,17.0,32700,LII
1999-08-27,17.25,17.5,17.125,17.4375,34300,LII
1999-08-30,17.4375,18.375,17.25,18.0625,136000,LII
1999-08-31,17.9375,19.25,17.75,19.0,309100,LII
1999-09-01,19.0625,19.0625,18.25,18.375,49100,LII
1999-09-02,18.375,18.375,17.75,18.375,50900,LII
1999-09-03,18.4375,18.5625,18.1875,18.3125,52300,LII
1999-09-07,18.0625,18.0625,17.8125,17.8125,12700,LII
1999-09-08,17.8125,17.8125,16.625,16.9375,54400,LII
1999-09-09,16.8125,16.9375,16.625,16.75,28100,LII
1999-09-10,16.875,16.875,16.25,16.25,91800,LII
1999-09-13,16.375,17.0625,16.375,16.9375,33600,LII
1999-09-14,17.0625,17.125,16.375,16.5,18500,LII
1999-09-15,16.5,17.0,16.3125,17.0,69500,LII
1999-09-16,17.25,17.25,16.8125,16.8125,84500,LII
1999-09-17,17.0,17.125,16.875,17.125,22500,LII
1999-09-20,17.0625,17.0625,16.8125,16.9375,18200,LII
1999-09-21,16.75,16.8125,16.5,16.5,23800,LII
1999-09-22,16.5,16.8125,16.5,16.75,19600,LII
1999-09-23,16.75,16.75,15.375,15.375,55700,LII
1999-09-24,15.375,15.5,14.5,14.9375,80200,LII
1999-09-27,15.0625,15.25,14.75,14.8125,69600,LII
1999-09-28,14.6875,14.75,14.5,14.6875,37600,LII
1999-09-29,14.625,14.75,14.625,14.75,114600,LII
1999-09-30,15.5,15.875,15.25,15.5,83000,LII
1999-10-01,15.0,15.75,15.0,15.75,65000,LII
1999-10-04,15.75,15.75,15.4375,15.625,107500,LII
1999-10-05,15.375,15.5625,15.0,15.0,83000,LII
1999-10-06,15.0,15.0625,14.625,14.625,58700,LII
1999-10-07,14.625,15.0,14.625,14.9375,68100,LII
1999-10-08,14.6875,14.875,14.375,14.5625,60000,LII
1999-10-11,14.625,14.625,14.25,14.3125,40900,LII
1999-10-12,14.3125,14.3125,13.25,13.8125,177700,LII
1999-10-13,13.6875,15.1875,13.6875,14.9375,75500,LII
1999-10-14,14.875,15.125,14.5625,14.75,50400,LII
1999-10-15,14.625,14.625,14.25,14.25,15700,LII
1999-10-18,14.25,14.4375,13.875,14.0,29100,LII
1999-10-19,13.75,13.75,13.375,13.5,36200,LII
1999-10-20,13.5,13.75,13.25,13.5,25700,LII
1999-10-21,13.4375,13.5,13.1875,13.375,15200,LII
1999-10-22,13.3125,13.5,13.25,13.25,17100,LII
1999-10-25,13.125,13.125,12.875,13.125,38200,LII
1999-10-26,13.25,13.6875,13.25,13.25,319000,LII
1999-10-27,13.125,13.125,9.875,10.0,991200,LII
1999-10-28,10.0,10.1875,9.125,9.625,958900,LII
1999-10-29,9.6875,10.25,9.625,10.1875,553200,LII
1999-11-01,10.6875,11.0,10.0,10.125,218600,LII
1999-11-02,10.5,10.75,10.25,10.5625,365500,LII
1999-11-03,10.5625,10.875,10.5,10.5625,157100,LII
1999-11-04,10.5,10.625,10.4375,10.4375,81800,LII
1999-11-05,10.4375,10.625,10.25,10.5625,226100,LII
