Date,Open,High,Low,Close,Volume,Ticker
1973-02-21,5.03125,5.03125,5.03125,5.03125,5600,LNT
1973-02-22,5.03125,5.03125,5.03125,5.03125,8400,LNT
1973-02-23,5.03125,5.03125,5.03125,5.03125,73200,LNT
1973-02-26,5.0,5.0,5.0,5.0,16400,LNT
1973-02-27,4.9375,4.9375,4.9375,4.9375,26000,LNT
1973-02-28,4.96875,4.96875,4.96875,4.96875,26000,LNT
1973-03-01,4.96875,4.96875,4.96875,4.96875,36800,LNT
1973-03-02,4.96875,4.96875,4.96875,4.96875,10400,LNT
1973-03-05,4.96875,4.96875,4.96875,4.96875,26800,LNT
1973-03-06,4.96875,4.96875,4.96875,4.96875,9200,LNT
1973-03-07,4.96875,4.96875,4.96875,4.96875,23600,LNT
1973-03-08,4.96875,4.96875,4.96875,4.96875,8800,LNT
1973-03-09,4.96875,4.96875,4.96875,4.96875,23200,LNT
1973-03-12,4.96875,4.96875,4.96875,4.96875,26400,LNT
1973-03-13,4.96875,4.96875,4.96875,4.96875,41200,LNT
1973-03-14,4.96875,4.96875,4.96875,4.96875,14000,LNT
1973-03-15,4.9375,4.9375,4.9375,4.9375,20000,LNT
1973-03-16,4.90625,4.90625,4.90625,4.90625,9200,LNT
1973-03-19,4.90625,4.90625,4.90625,4.90625,7600,LNT
1973-03-20,4.875,4.875,4.875,4.875,23200,LNT
1973-03-21,4.84375,4.84375,4.84375,4.84375,21200,LNT
1973-03-22,4.84375,4.84375,4.84375,4.84375,7200,LNT
1973-03-23,4.84375,4.84375,4.84375,4.84375,20000,LNT
1973-03-26,4.875,4.875,4.875,4.875,4400,LNT
1973-03-27,4.875,4.875,4.875,4.875,17200,LNT
1973-03-28,4.90625,4.90625,4.90625,4.90625,10800,LNT
1973-03-29,4.90625,4.90625,4.90625,4.90625,5200,LNT
1973-03-30,4.90625,4.90625,4.90625,4.90625,5600,LNT
1973-04-02,4.90625,4.90625,4.90625,4.90625,35600,LNT
1973-04-03,4.90625,4.90625,4.90625,4.90625,51200,LNT
1973-04-04,4.90625,4.90625,4.90625,4.90625,29200,LNT
1973-04-05,4.90625,4.90625,4.90625,4.90625,3200,LNT
1973-04-06,4.90625,4.90625,4.90625,4.90625,27600,LNT
1973-04-09,4.96875,4.96875,4.96875,4.96875,17600,LNT
1973-04-10,4.96875,4.96875,4.96875,4.96875,6800,LNT
1973-04-11,4.96875,4.96875,4.96875,4.96875,32000,LNT
1973-04-12,4.96875,4.96875,4.96875,4.96875,2000,LNT
1973-04-13,4.96875,4.96875,4.96875,4.96875,4400,LNT
1973-04-16,4.96875,4.96875,4.96875,4.96875,8800,LNT
1973-04-17,4.9375,4.9375,4.9375,4.9375,52000,LNT
1973-04-18,4.90625,4.90625,4.90625,4.90625,8400,LNT
1973-04-19,4.90625,4.90625,4.90625,4.90625,7600,LNT
1973-04-23,4.9375,4.9375,4.9375,4.9375,10800,LNT
1973-04-24,4.90625,4.90625,4.90625,4.90625,2800,LNT
1973-04-25,4.90625,4.90625,4.90625,4.90625,6000,LNT
1973-04-26,4.90625,4.90625,4.90625,4.90625,7200,LNT
1973-04-27,4.90625,4.90625,4.90625,4.90625,49600,LNT
1973-04-30,4.90625,4.90625,4.90625,4.90625,5600,LNT
1973-05-01,4.875,4.875,4.875,4.875,13600,LNT
1973-05-02,4.875,4.875,4.875,4.875,16800,LNT
1973-05-03,4.875,4.96875,4.875,4.875,6800,LNT
1973-05-04,4.875,4.96875,4.875,4.875,16400,LNT
1973-05-07,4.875,4.96875,4.875,4.875,7600,LNT
1973-05-08,4.875,4.96875,4.875,4.875,3200,LNT
1973-05-09,4.875,4.96875,4.875,4.875,69200,LNT
1973-05-10,4.875,4.96875,4.875,4.875,8000,LNT
1973-05-11,4.90625,5.0,4.90625,4.90625,3600,LNT
1973-05-14,4.90625,5.0,4.90625,4.90625,6800,LNT
1973-05-15,4.90625,5.0,4.90625,4.90625,29200,LNT
1973-05-16,4.90625,5.0,4.90625,4.90625,7600,LNT
1973-05-17,4.90625,5.0,4.90625,4.90625,7600,LNT
1973-05-18,4.90625,5.0,4.90625,4.90625,14400,LNT
1973-05-21,4.90625,5.0,4.90625,4.90625,6800,LNT
1973-05-22,4.90625,5.0,4.90625,4.90625,7600,LNT
1973-05-23,4.90625,5.0,4.90625,4.90625,12800,LNT
1973-05-24,4.90625,5.0,4.90625,4.90625,17200,LNT
1973-05-25,4.90625,5.0,4.90625,4.90625,8800,LNT
1973-05-29,4.90625,5.0,4.90625,4.90625,2000,LNT
1973-05-30,4.90625,5.0,4.90625,4.90625,6400,LNT
1973-05-31,4.90625,5.0,4.90625,4.90625,7600,LNT
1973-06-01,4.90625,5.0,4.90625,4.90625,9200,LNT
1973-06-04,4.90625,5.0,4.90625,4.90625,21600,LNT
1973-06-05,4.90625,4.96875,4.875,4.875,32800,LNT
1973-06-06,4.875,4.96875,4.875,4.875,20400,LNT
1973-06-07,4.875,4.96875,4.875,4.875,5600,LNT
1973-06-08,4.875,4.96875,4.875,4.875,6400,LNT
1973-06-11,4.875,4.96875,4.875,4.875,6800,LNT
1973-06-12,4.875,4.9375,4.84375,4.84375,14000,LNT
1973-06-13,4.84375,4.9375,4.84375,4.84375,24000,LNT
1973-06-14,4.84375,4.9375,4.84375,4.84375,5200,LNT
1973-06-15,4.84375,4.9375,4.84375,4.84375,6400,LNT
1973-06-18,4.84375,4.9375,4.84375,4.84375,12800,LNT
1973-06-19,4.84375,4.9375,4.84375,4.84375,4800,LNT
1973-06-20,4.84375,4.9375,4.84375,4.84375,20800,LNT
1973-06-21,4.84375,4.9375,4.84375,4.84375,2400,LNT
1973-06-22,4.84375,4.9375,4.84375,4.84375,12000,LNT
1973-06-25,4.84375,4.90625,4.8125,4.8125,20400,LNT
1973-06-26,4.78125,4.78125,4.6875,4.6875,23200,LNT
1973-06-27,4.75,4.84375,4.75,4.75,48000,LNT
1973-06-28,4.75,4.84375,4.75,4.75,18400,LNT
1973-06-29,4.75,4.84375,4.75,4.75,9200,LNT
1973-07-02,4.75,4.84375,4.75,4.75,13200,LNT
1973-07-03,4.75,4.84375,4.75,4.75,19600,LNT
1973-07-05,4.75,4.84375,4.75,4.75,7200,LNT
1973-07-06,4.75,4.84375,4.75,4.75,6400,LNT
1973-07-09,4.75,4.84375,4.75,4.75,12400,LNT
1973-07-10,4.78125,4.875,4.78125,4.78125,7200,LNT
1973-07-11,4.8125,4.90625,4.8125,4.8125,13600,LNT
1973-07-12,4.8125,4.90625,4.8125,4.8125,4400,LNT
1973-07-13,4.8125,4.90625,4.8125,4.8125,2000,LNT
1973-07-16,4.8125,4.90625,4.8125,4.8125,7200,LNT
1973-07-17,4.84375,4.9375,4.84375,4.84375,10000,LNT
1973-07-18,4.84375,4.9375,4.84375,4.84375,9200,LNT
1973-07-19,4.84375,4.9375,4.84375,4.84375,8000,LNT
1973-07-20,4.84375,4.9375,4.84375,4.84375,10400,LNT
1973-07-23,4.875,4.96875,4.875,4.875,6800,LNT
1973-07-24,4.875,4.96875,4.875,4.875,3200,LNT
1973-07-25,4.875,4.96875,4.875,4.875,8000,LNT
1973-07-26,4.875,4.9375,4.84375,4.84375,14000,LNT
1973-07-27,4.84375,4.9375,4.84375,4.84375,10400,LNT
1973-07-30,4.84375,4.9375,4.84375,4.84375,7600,LNT
1973-07-31,4.84375,4.9375,4.84375,4.84375,3600,LNT
1973-08-01,4.84375,4.9375,4.84375,4.84375,2000,LNT
1973-08-02,4.84375,4.90625,4.8125,4.8125,5200,LNT
1973-08-03,4.8125,4.90625,4.8125,4.8125,4400,LNT
1973-08-06,4.8125,4.90625,4.8125,4.8125,7200,LNT
1973-08-07,4.8125,4.875,4.78125,4.78125,42400,LNT
1973-08-08,4.78125,4.875,4.78125,4.78125,3200,LNT
1973-08-09,4.78125,4.875,4.78125,4.78125,1600,LNT
1973-08-10,4.78125,4.84375,4.75,4.75,8000,LNT
1973-08-13,4.75,4.8125,4.71875,4.71875,5200,LNT
1973-08-14,4.71875,4.78125,4.6875,4.6875,6800,LNT
1973-08-15,4.6875,4.6875,4.59375,4.59375,7600,LNT
1973-08-16,4.59375,4.65625,4.5625,4.5625,7600,LNT
1973-08-17,4.5625,4.65625,4.5625,4.5625,7200,LNT
1973-08-20,4.5625,4.65625,4.5625,4.5625,6800,LNT
1973-08-21,4.5625,4.65625,4.5625,4.5625,3600,LNT
1973-08-22,4.5625,4.65625,4.5625,4.5625,6400,LNT
1973-08-23,4.5625,4.65625,4.5625,4.5625,7600,LNT
1973-08-24,4.59375,4.6875,4.59375,4.59375,9600,LNT
1973-08-27,4.625,4.71875,4.625,4.625,12800,LNT
1973-08-28,4.65625,4.75,4.65625,4.65625,2800,LNT
1973-08-29,4.6875,4.78125,4.6875,4.6875,4800,LNT
1973-08-30,4.71875,4.8125,4.71875,4.71875,3200,LNT
1973-08-31,4.71875,4.78125,4.6875,4.6875,5200,LNT
1973-09-04,4.71875,4.8125,4.71875,4.71875,1600,LNT
1973-09-05,4.71875,4.8125,4.71875,4.71875,9600,LNT
1973-09-06,4.71875,4.8125,4.71875,4.71875,8400,LNT
1973-09-07,4.71875,4.8125,4.71875,4.71875,9200,LNT
1973-09-10,4.75,4.84375,4.75,4.75,5600,LNT
1973-09-11,4.75,4.84375,4.75,4.75,4000,LNT
1973-09-12,4.75,4.84375,4.75,4.75,1200,LNT
1973-09-13,4.75,4.84375,4.75,4.75,4800,LNT
1973-09-14,4.75,4.84375,4.75,4.75,9600,LNT
1973-09-17,4.75,4.84375,4.75,4.75,16400,LNT
1973-09-18,4.75,4.84375,4.75,4.75,8000,LNT
1973-09-19,4.78125,4.875,4.78125,4.78125,8000,LNT
1973-09-20,4.78125,4.875,4.78125,4.78125,11200,LNT
1973-09-21,4.78125,4.875,4.78125,4.78125,20400,LNT
1973-09-24,4.78125,4.875,4.78125,4.78125,15600,LNT
1973-09-25,4.78125,4.875,4.78125,4.78125,13200,LNT
1973-09-26,4.90625,5.0,4.90625,4.90625,17200,LNT
1973-09-27,4.9375,5.03125,4.9375,4.9375,4400,LNT
1973-09-28,4.9375,5.0,4.90625,4.90625,6000,LNT
1973-10-01,4.9375,5.03125,4.9375,4.9375,10400,LNT
1973-10-02,4.96875,5.0625,4.96875,4.96875,6800,LNT
1973-10-03,4.96875,5.0625,4.96875,4.96875,6800,LNT
1973-10-04,4.96875,4.96875,4.875,4.875,11600,LNT
1973-10-05,4.875,4.9375,4.84375,4.84375,4000,LNT
1973-10-08,4.84375,4.90625,4.8125,4.8125,4000,LNT
1973-10-09,4.8125,4.875,4.78125,4.78125,4800,LNT
1973-10-10,4.78125,4.875,4.78125,4.78125,4000,LNT
1973-10-11,4.78125,4.84375,4.75,4.75,8000,LNT
1973-10-12,4.75,4.8125,4.71875,4.71875,4400,LNT
1973-10-15,4.71875,4.78125,4.6875,4.6875,8400,LNT
1973-10-16,4.6875,4.78125,4.6875,4.6875,11200,LNT
1973-10-17,4.6875,4.78125,4.6875,4.6875,5200,LNT
1973-10-18,4.6875,4.75,4.65625,4.65625,5200,LNT
1973-10-19,4.65625,4.71875,4.625,4.625,10400,LNT
1973-10-22,4.625,4.65625,4.5625,4.5625,7200,LNT
1973-10-23,4.5625,4.65625,4.5625,4.5625,8400,LNT
1973-10-24,4.5625,4.65625,4.5625,4.5625,7600,LNT
1973-10-25,4.5625,4.5625,4.46875,4.46875,7600,LNT
1973-10-26,4.46875,4.5625,4.46875,4.46875,4800,LNT
1973-10-29,4.5,4.59375,4.5,4.5,6000,LNT
1973-10-30,4.5,4.5625,4.46875,4.46875,8800,LNT
1973-10-31,4.46875,4.5625,4.46875,4.46875,2800,LNT
1973-11-01,4.46875,4.5625,4.46875,4.46875,4800,LNT
1973-11-02,4.46875,4.5625,4.46875,4.46875,8000,LNT
1973-11-05,4.46875,4.5625,4.46875,4.46875,36400,LNT
1973-11-06,4.46875,4.5625,4.46875,4.46875,34400,LNT
1973-11-07,4.46875,4.5625,4.46875,4.46875,12800,LNT
1973-11-08,4.46875,4.5625,4.46875,4.46875,11200,LNT
1973-11-09,4.46875,4.5625,4.46875,4.46875,15200,LNT
1973-11-12,4.46875,4.5625,4.46875,4.46875,15600,LNT
1973-11-13,4.46875,4.5625,4.46875,4.46875,7200,LNT
1973-11-14,4.46875,4.53125,4.4375,4.4375,16000,LNT
1973-11-15,4.4375,4.53125,4.4375,4.4375,8000,LNT
1973-11-16,4.4375,4.5,4.40625,4.40625,30400,LNT
1973-11-19,4.40625,4.5,4.40625,4.40625,5600,LNT
1973-11-20,4.40625,4.46875,4.375,4.375,4800,LNT
1973-11-21,4.375,4.46875,4.375,4.375,7200,LNT
1973-11-23,4.375,4.46875,4.375,4.375,6000,LNT
1973-11-26,4.375,4.4375,4.34375,4.34375,5600,LNT
1973-11-27,4.1875,4.1875,4.09375,4.09375,26400,LNT
1973-11-28,4.15625,4.25,4.15625,4.15625,14000,LNT
1973-11-29,4.15625,4.21875,4.125,4.125,17200,LNT
1973-11-30,4.125,4.21875,4.125,4.125,8400,LNT
1973-12-03,4.125,4.21875,4.125,4.125,4000,LNT
1973-12-04,4.125,4.1875,4.09375,4.09375,4800,LNT
1973-12-05,4.09375,4.15625,4.0625,4.0625,9200,LNT
1973-12-06,4.1875,4.28125,4.1875,4.1875,31600,LNT
1973-12-07,4.3125,4.40625,4.3125,4.3125,31600,LNT
1973-12-10,4.375,4.46875,4.375,4.375,10000,LNT
1973-12-11,4.375,4.4375,4.34375,4.34375,6000,LNT
1973-12-12,4.34375,4.4375,4.34375,4.34375,16800,LNT
1973-12-13,4.34375,4.4375,4.34375,4.34375,7200,LNT
