Date,Open,High,Low,Close,Volume,Ticker
1975-11-17,2.625,2.625,2.625,2.625,4000,PNC
1975-11-18,2.5625,2.5625,2.5625,2.5625,39200,PNC
1975-11-19,2.53125,2.53125,2.53125,2.53125,22400,PNC
1975-11-20,2.46875,2.46875,2.46875,2.46875,24800,PNC
1975-11-21,2.5,2.5,2.5,2.5,22400,PNC
1975-11-24,2.46875,2.46875,2.46875,2.46875,5600,PNC
1975-11-25,2.46875,2.46875,2.46875,2.46875,24000,PNC
1975-11-26,2.40625,2.40625,2.40625,2.40625,35200,PNC
1975-11-28,2.375,2.375,2.375,2.375,19200,PNC
1975-12-01,2.375,2.375,2.375,2.375,7200,PNC
1975-12-02,2.3125,2.3125,2.3125,2.3125,24000,PNC
1975-12-03,2.21875,2.21875,2.21875,2.21875,40800,PNC
1975-12-04,2.21875,2.21875,2.21875,2.21875,16000,PNC
1975-12-05,2.15625,2.15625,2.15625,2.15625,36000,PNC
1975-12-08,2.15625,2.15625,2.15625,2.15625,37600,PNC
1975-12-09,2.1875,2.1875,2.1875,2.1875,64000,PNC
1975-12-10,2.1875,2.1875,2.1875,2.1875,22400,PNC
1975-12-11,2.1875,2.1875,2.1875,2.1875,15200,PNC
1975-12-12,2.25,2.25,2.25,2.25,119200,PNC
1975-12-15,2.21875,2.21875,2.21875,2.21875,45600,PNC
1975-12-16,2.21875,2.21875,2.21875,2.21875,53600,PNC
1975-12-17,2.25,2.25,2.25,2.25,47200,PNC
1975-12-18,2.28125,2.28125,2.28125,2.28125,26400,PNC
1975-12-19,2.28125,2.28125,2.28125,2.28125,8000,PNC
1975-12-22,2.28125,2.28125,2.28125,2.28125,24800,PNC
1975-12-23,2.28125,2.28125,2.28125,2.28125,52000,PNC
1975-12-24,2.28125,2.28125,2.28125,2.28125,8800,PNC
1975-12-26,2.34375,2.34375,2.34375,2.34375,12800,PNC
1975-12-29,2.34375,2.34375,2.34375,2.34375,8800,PNC
1975-12-30,2.34375,2.34375,2.34375,2.34375,20000,PNC
1975-12-31,2.34375,2.34375,2.34375,2.34375,12000,PNC
1976-01-02,2.3125,2.3125,2.3125,2.3125,4800,PNC
1976-01-05,2.375,2.375,2.375,2.375,27200,PNC
1976-01-06,2.53125,2.53125,2.53125,2.53125,65600,PNC
1976-01-07,2.53125,2.53125,2.53125,2.53125,25600,PNC
1976-01-08,2.5625,2.5625,2.5625,2.5625,13600,PNC
1976-01-09,2.53125,2.53125,2.53125,2.53125,24800,PNC
1976-01-12,2.5625,2.5625,2.5625,2.5625,35200,PNC
1976-01-13,2.625,2.625,2.625,2.625,23200,PNC
1976-01-14,2.75,2.75,2.75,2.75,50400,PNC
1976-01-15,2.6875,2.6875,2.6875,2.6875,52800,PNC
1976-01-16,2.8125,2.8125,2.8125,2.8125,48000,PNC
1976-01-19,2.8125,2.8125,2.8125,2.8125,17600,PNC
1976-01-20,2.78125,2.78125,2.78125,2.78125,25600,PNC
1976-01-21,2.75,2.75,2.75,2.75,19200,PNC
1976-01-22,2.6875,2.6875,2.6875,2.6875,23200,PNC
1976-01-23,2.71875,2.71875,2.71875,2.71875,32000,PNC
1976-01-26,2.75,2.75,2.75,2.75,31200,PNC
1976-01-27,2.75,2.75,2.75,2.75,13600,PNC
1976-01-28,2.75,2.75,2.75,2.75,4800,PNC
1976-01-29,2.75,2.8125,2.71875,2.71875,17600,PNC
1976-01-30,2.75,2.84375,2.75,2.75,24800,PNC
1976-02-02,2.78125,2.875,2.78125,2.78125,18400,PNC
1976-02-03,2.90625,3.0,2.90625,2.90625,26400,PNC
1976-02-04,2.9375,3.03125,2.9375,2.9375,16000,PNC
1976-02-05,2.96875,3.0625,2.96875,2.96875,39200,PNC
1976-02-06,2.96875,3.0,2.90625,2.90625,24800,PNC
1976-02-09,2.90625,3.0,2.90625,2.90625,11200,PNC
1976-02-10,2.90625,3.0,2.90625,2.90625,4000,PNC
1976-02-11,2.9375,3.03125,2.9375,2.9375,7200,PNC
1976-02-12,2.9375,3.0,2.90625,2.90625,5600,PNC
1976-02-13,2.90625,3.0,2.90625,2.90625,4800,PNC
1976-02-17,2.90625,2.96875,2.875,2.875,22400,PNC
1976-02-18,2.875,2.9375,2.84375,2.84375,8000,PNC
