Date,Open,High,Low,Close,Volume,Ticker
1992-02-13,2.0,2.09375,2.0,2.046875,18506400,ROP
1992-02-14,2.0625,2.28125,2.0625,2.25,3128000,ROP
1992-02-18,2.21875,2.28125,2.0625,2.0625,2584800,ROP
1992-02-19,2.09375,2.15625,2.03125,2.15625,2454400,ROP
1992-02-20,2.125,2.28125,2.125,2.21875,1304000,ROP
1992-02-21,2.21875,2.28125,2.21875,2.28125,616800,ROP
1992-02-24,2.21875,2.3125,2.21875,2.3125,772800,ROP
1992-02-25,2.265625,2.3125,2.25,2.28125,517600,ROP
1992-02-26,2.3125,2.34375,2.25,2.34375,851200,ROP
1992-02-27,2.28125,2.4375,2.28125,2.40625,555200,ROP
1992-02-28,2.4375,2.59375,2.375,2.53125,1108800,ROP
1992-03-02,2.59375,2.609375,2.46875,2.5625,873600,ROP
1992-03-03,2.546875,2.5625,2.4375,2.46875,512000,ROP
1992-03-04,2.46875,2.53125,2.4375,2.4375,163200,ROP
1992-03-05,2.53125,2.53125,2.34375,2.34375,707200,ROP
1992-03-06,2.390625,2.4375,2.34375,2.34375,765600,ROP
1992-03-09,2.34375,2.4375,2.34375,2.390625,766400,ROP
1992-03-10,2.34375,2.4375,2.34375,2.4375,93600,ROP
1992-03-11,2.5,2.53125,2.4375,2.453125,222400,ROP
1992-03-12,2.4375,2.53125,2.4375,2.4375,89600,ROP
1992-03-13,2.4375,2.5625,2.4375,2.53125,211200,ROP
1992-03-16,2.5,2.5625,2.5,2.5625,94400,ROP
1992-03-17,2.46875,2.5625,2.46875,2.46875,150400,ROP
1992-03-18,2.46875,2.46875,2.46875,2.46875,52000,ROP
1992-03-19,2.5625,2.5625,2.4375,2.4375,68800,ROP
1992-03-20,2.4375,2.53125,2.4375,2.53125,124800,ROP
1992-03-23,2.4375,2.515625,2.4375,2.484375,314400,ROP
1992-03-24,2.46875,2.515625,2.4375,2.4375,437600,ROP
1992-03-25,2.53125,2.53125,2.4375,2.46875,79200,ROP
1992-03-26,2.40625,2.421875,2.40625,2.40625,47200,ROP
1992-03-27,2.5,2.5,2.4375,2.5,79200,ROP
