Date,Open,High,Low,Close,Volume,Ticker
1975-06-12,15.25,15.5,15.25,15.25,680800,TAP
1975-06-13,15.4375,15.6875,15.4375,15.4375,434400,TAP
1975-06-16,15.4375,15.5,15.25,15.25,195800,TAP
1975-06-17,15.1875,15.1875,14.9375,14.9375,278800,TAP
1975-06-18,15.375,15.625,15.375,15.375,178200,TAP
1975-06-19,15.625,15.875,15.625,15.625,190400,TAP
1975-06-20,15.6875,15.9375,15.6875,15.6875,304800,TAP
1975-06-23,15.6875,15.8125,15.5625,15.5625,119400,TAP
1975-06-24,15.5,15.5,15.25,15.25,240000,TAP
1975-06-25,15.25,15.375,15.125,15.125,158400,TAP
1975-06-26,15.125,15.25,15.0,15.0,121200,TAP
1975-06-27,15.0,15.1875,14.9375,14.9375,88000,TAP
1975-06-30,15.25,15.5,15.25,15.25,123200,TAP
1975-07-01,15.25,15.3125,15.0625,15.0625,87200,TAP
1975-07-02,15.0625,15.1875,14.9375,14.9375,139400,TAP
1975-07-03,15.5625,15.8125,15.5625,15.5625,158600,TAP
1975-07-07,15.4375,15.4375,15.1875,15.1875,112400,TAP
1975-07-08,15.1875,15.375,15.125,15.125,144000,TAP
1975-07-09,15.5,15.75,15.5,15.5,223000,TAP
1975-07-10,15.5,15.6875,15.4375,15.4375,227600,TAP
1975-07-11,16.0,16.25,16.0,16.0,293400,TAP
1975-07-14,16.8125,17.0625,16.8125,16.8125,371800,TAP
1975-07-15,16.8125,17.0,16.75,16.75,281600,TAP
1975-07-16,16.75,16.9375,16.6875,16.6875,364600,TAP
1975-07-17,16.9375,17.1875,16.9375,16.9375,222000,TAP
1975-07-18,17.75,18.0,17.75,17.75,351000,TAP
1975-07-21,17.75,17.8125,17.5625,17.5625,204800,TAP
1975-07-22,17.1875,17.1875,16.9375,16.9375,234000,TAP
1975-07-23,16.875,16.875,16.625,16.625,176800,TAP
1975-07-24,16.625,16.625,16.375,16.375,143400,TAP
1975-07-25,16.1875,16.1875,15.9375,15.9375,102600,TAP
1975-07-28,15.9375,16.125,15.875,15.875,96000,TAP
1975-07-29,15.625,15.625,15.375,15.375,160200,TAP
1975-07-30,15.5625,15.8125,15.5625,15.5625,118600,TAP
1975-07-31,15.5,15.5,15.25,15.25,88400,TAP
1975-08-01,15.1875,15.1875,14.9375,14.9375,101600,TAP
1975-08-04,14.9375,14.9375,14.9375,14.9375,0,TAP
1975-08-05,15.4375,15.6875,15.4375,15.4375,120200,TAP
1975-08-06,16.0625,16.3125,16.0625,16.0625,109800,TAP
1975-08-07,15.625,15.625,15.375,15.375,127200,TAP
1975-08-08,15.0625,15.0625,14.8125,14.8125,144600,TAP
1975-08-11,15.125,15.375,15.125,15.125,111400,TAP
1975-08-12,15.125,15.3125,15.0625,15.0625,81600,TAP
1975-08-13,14.5,14.5,14.25,14.25,112400,TAP
1975-08-14,14.25,14.5,14.25,14.25,104200,TAP
1975-08-15,14.25,14.25,14.0,14.0,73600,TAP
1975-08-18,13.625,13.625,13.375,13.375,78400,TAP
1975-08-19,13.375,13.625,13.375,13.375,69800,TAP
1975-08-20,13.8125,14.0625,13.8125,13.8125,83600,TAP
1975-08-21,14.375,14.625,14.375,14.375,60400,TAP
1975-08-22,14.75,15.0,14.75,14.75,32200,TAP
1975-08-25,14.75,14.9375,14.6875,14.6875,48000,TAP
1975-08-26,14.4375,14.4375,14.1875,14.1875,70200,TAP
1975-08-27,14.4375,14.6875,14.4375,14.4375,42400,TAP
1975-08-28,15.1875,15.4375,15.1875,15.1875,83600,TAP
1975-08-29,15.375,15.625,15.375,15.375,105200,TAP
1975-09-02,14.9375,14.9375,14.6875,14.6875,70800,TAP
1975-09-03,14.9375,15.1875,14.9375,14.9375,69400,TAP
1975-09-04,15.0625,15.3125,15.0625,15.0625,59600,TAP
1975-09-05,14.875,14.875,14.625,14.625,63600,TAP
1975-09-08,14.4375,14.4375,14.1875,14.1875,50400,TAP
1975-09-09,14.0,14.0,13.75,13.75,134600,TAP
1975-09-10,13.625,13.625,13.375,13.375,146600,TAP
1975-09-11,13.375,13.5625,13.3125,13.3125,144800,TAP
1975-09-12,13.5,13.75,13.5,13.5,61000,TAP
1975-09-15,13.625,13.875,13.625,13.625,53000,TAP
1975-09-16,13.75,14.0,13.75,13.75,57000,TAP
1975-09-17,14.1875,14.4375,14.1875,14.1875,76000,TAP
1975-09-18,15.1875,15.4375,15.1875,15.1875,113000,TAP
1975-09-19,15.75,16.0,15.75,15.75,144400,TAP
1975-09-22,15.375,15.375,15.125,15.125,98400,TAP
1975-09-23,15.0,15.0,14.75,14.75,114800,TAP
1975-09-24,14.75,15.0,14.75,14.75,39000,TAP
1975-09-25,14.5625,14.5625,14.3125,14.3125,60000,TAP
1975-09-26,14.3125,14.4375,14.1875,14.1875,58200,TAP
1975-09-29,14.1875,14.3125,14.0625,14.0625,50400,TAP
1975-09-30,14.0625,14.0625,13.8125,13.8125,56000,TAP
1975-10-01,13.8125,14.0625,13.8125,13.8125,73800,TAP
1975-10-02,14.125,14.375,14.125,14.125,140000,TAP
1975-10-03,14.5,14.75,14.5,14.5,71000,TAP
1975-10-06,14.5,14.75,14.5,14.5,30000,TAP
1975-10-07,14.5,14.5,14.25,14.25,58800,TAP
1975-10-08,14.5625,14.8125,14.5625,14.5625,45600,TAP
1975-10-09,14.8125,15.0625,14.8125,14.8125,71200,TAP
1975-10-10,14.9375,15.1875,14.9375,14.9375,70200,TAP
1975-10-13,15.0,15.25,15.0,15.0,53800,TAP
1975-10-14,15.0625,15.3125,15.0625,15.0625,76800,TAP
1975-10-15,15.25,15.5,15.25,15.25,67600,TAP
1975-10-16,15.25,15.3125,15.0625,15.0625,44600,TAP
1975-10-17,14.25,14.25,14.0,14.0,118800,TAP
1975-10-20,14.1875,14.4375,14.1875,14.1875,47600,TAP
1975-10-21,13.875,13.875,13.625,13.625,100800,TAP
1975-10-22,13.75,14.0,13.75,13.75,106400,TAP
1975-10-23,14.375,14.625,14.375,14.375,148200,TAP
1975-10-24,14.25,14.25,14.0,14.0,74200,TAP
1975-10-27,14.0,14.25,14.0,14.0,27800,TAP
1975-10-28,14.25,14.5,14.25,14.25,59000,TAP
1975-10-29,13.875,13.875,13.625,13.625,57000,TAP
1975-10-30,13.5625,13.5625,13.3125,13.3125,66200,TAP
1975-10-31,13.375,13.625,13.375,13.375,40400,TAP
1975-11-03,13.25,13.25,13.0,13.0,79600,TAP
1975-11-04,12.875,12.875,12.625,12.625,191800,TAP
1975-11-05,12.625,12.6875,12.4375,12.4375,106600,TAP
1975-11-06,12.4375,12.625,12.375,12.375,104000,TAP
1975-11-07,11.875,11.875,11.625,11.625,308600,TAP
1975-11-10,12.125,12.375,12.125,12.125,79400,TAP
1975-11-11,12.125,12.25,12.0,12.0,83400,TAP
1975-11-12,13.0625,13.3125,13.0625,13.0625,177800,TAP
1975-11-13,12.875,12.875,12.625,12.625,164000,TAP
1975-11-14,12.6875,12.9375,12.6875,12.6875,72400,TAP
1975-11-17,12.6875,12.9375,12.6875,12.6875,53400,TAP
1975-11-18,12.5625,12.5625,12.3125,12.3125,110600,TAP
1975-11-19,12.3125,12.3125,12.0625,12.0625,81600,TAP
1975-11-20,12.0625,12.3125,12.0625,12.0625,29200,TAP
1975-11-21,12.3125,12.5625,12.3125,12.3125,52000,TAP
1975-11-24,12.4375,12.6875,12.4375,12.4375,58200,TAP
1975-11-25,12.4375,12.5,12.25,12.25,47600,TAP
1975-11-26,12.625,12.875,12.625,12.625,49600,TAP
1975-11-28,12.625,12.6875,12.4375,12.4375,35000,TAP
1975-12-01,12.4375,12.625,12.375,12.375,55400,TAP
1975-12-02,12.375,12.5,12.25,12.25,60800,TAP
1975-12-03,12.25,12.3125,12.0625,12.0625,85000,TAP
1975-12-04,11.9375,11.9375,11.6875,11.6875,49400,TAP
1975-12-05,11.5,11.5,11.25,11.25,61000,TAP
1975-12-08,11.25,11.4375,11.1875,11.1875,62000,TAP
1975-12-09,11.1875,11.3125,11.0625,11.0625,171200,TAP
1975-12-10,11.75,12.0,11.75,11.75,102400,TAP
1975-12-11,11.8125,12.0625,11.8125,11.8125,111400,TAP
1975-12-12,11.8125,12.0625,11.8125,11.8125,31400,TAP
1975-12-15,11.8125,11.9375,11.6875,11.6875,50800,TAP
1975-12-16,11.9375,12.1875,11.9375,11.9375,51600,TAP
1975-12-17,12.0625,12.3125,12.0625,12.0625,54000,TAP
1975-12-18,12.25,12.5,12.25,12.25,60400,TAP
1975-12-19,12.25,12.4375,12.1875,12.1875,37600,TAP
1975-12-22,12.375,12.625,12.375,12.375,78800,TAP
1975-12-23,12.4375,12.6875,12.4375,12.4375,30200,TAP
1975-12-24,12.4375,12.6875,12.4375,12.4375,11800,TAP
1975-12-26,12.75,13.0,12.75,12.75,45600,TAP
1975-12-29,12.75,12.9375,12.6875,12.6875,59400,TAP
1975-12-30,12.6875,12.875,12.625,12.625,51800,TAP
1975-12-31,12.75,13.0,12.75,12.75,30000,TAP
1976-01-02,12.75,12.9375,12.6875,12.6875,12400,TAP
1976-01-05,12.625,12.625,12.375,12.375,40600,TAP
1976-01-06,12.375,12.625,12.375,12.375,71600,TAP
1976-01-07,12.875,13.125,12.875,12.875,103000,TAP
1976-01-08,13.375,13.625,13.375,13.375,92800,TAP
1976-01-09,13.375,13.4375,13.1875,13.1875,119000,TAP
1976-01-12,13.0625,13.0625,12.8125,12.8125,35600,TAP
1976-01-13,12.8125,12.875,12.625,12.625,44000,TAP
1976-01-14,12.625,12.875,12.625,12.625,40200,TAP
1976-01-15,12.6875,12.9375,12.6875,12.6875,113800,TAP
1976-01-16,12.875,13.125,12.875,12.875,45000,TAP
1976-01-19,12.875,13.125,12.875,12.875,27000,TAP
1976-01-20,12.875,13.0625,12.8125,12.8125,67400,TAP
1976-01-21,13.0,13.25,13.0,13.0,55400,TAP
1976-01-22,13.0,13.0625,12.8125,12.8125,37800,TAP
1976-01-23,12.875,13.125,12.875,12.875,48800,TAP
1976-01-26,12.875,13.125,12.875,12.875,61000,TAP
1976-01-27,12.875,12.9375,12.6875,12.6875,32200,TAP
1976-01-28,12.6875,12.6875,12.4375,12.4375,54000,TAP
1976-01-29,12.8125,13.0625,12.8125,12.8125,63200,TAP
1976-01-30,13.25,13.5,13.25,13.25,85600,TAP
1976-02-02,13.25,13.3125,13.0625,13.0625,62800,TAP
1976-02-03,13.0625,13.25,13.0,13.0,47800,TAP
1976-02-04,13.125,13.375,13.125,13.125,38600,TAP
1976-02-05,13.125,13.3125,13.0625,13.0625,45200,TAP
1976-02-06,13.0625,13.3125,13.0625,13.0625,56000,TAP
1976-02-09,13.875,14.125,13.875,13.875,141800,TAP
1976-02-10,14.25,14.5,14.25,14.25,178600,TAP
1976-02-11,14.25,14.4375,14.1875,14.1875,108400,TAP
1976-02-12,14.1875,14.25,14.0,14.0,107200,TAP
1976-02-13,14.0,14.25,14.0,14.0,42400,TAP
1976-02-17,14.3125,14.5625,14.3125,14.3125,78200,TAP
1976-02-18,14.75,15.0,14.75,14.75,122000,TAP
1976-02-19,14.75,15.0,14.75,14.75,43200,TAP
1976-02-20,14.75,14.75,14.5,14.5,70000,TAP
1976-02-23,14.5,14.5,14.25,14.25,50400,TAP
1976-02-24,13.875,13.875,13.625,13.625,90400,TAP
1976-02-25,13.6875,13.9375,13.6875,13.6875,69000,TAP
1976-02-26,13.5625,13.5625,13.3125,13.3125,55800,TAP
1976-02-27,12.8125,12.8125,12.5625,12.5625,67800,TAP
1976-03-01,13.5,13.75,13.5,13.5,102200,TAP
1976-03-02,13.0625,13.0625,12.8125,12.8125,123000,TAP
1976-03-03,12.875,13.125,12.875,12.875,83400,TAP
1976-03-04,13.0,13.25,13.0,13.0,48800,TAP
1976-03-05,13.0,13.125,12.875,12.875,69800,TAP
1976-03-08,13.3125,13.5625,13.3125,13.3125,61600,TAP
1976-03-09,13.375,13.625,13.375,13.375,103000,TAP
1976-03-10,13.625,13.875,13.625,13.625,66000,TAP
1976-03-11,13.75,14.0,13.75,13.75,67400,TAP
1976-03-12,13.75,14.0,13.75,13.75,68200,TAP
1976-03-15,13.6875,13.6875,13.4375,13.4375,40000,TAP
1976-03-16,13.4375,13.6875,13.4375,13.4375,19000,TAP
1976-03-17,13.5,13.75,13.5,13.5,24200,TAP
1976-03-18,13.5,13.6875,13.4375,13.4375,29800,TAP
1976-03-19,13.4375,13.5,13.25,13.25,49400,TAP
1976-03-22,13.25,13.5,13.25,13.25,20000,TAP
1976-03-23,13.5625,13.8125,13.5625,13.5625,30400,TAP
1976-03-24,13.625,13.875,13.625,13.625,38800,TAP
1976-03-25,13.8125,14.0625,13.8125,13.8125,59200,TAP
1976-03-26,13.8125,14.0,13.75,13.75,28400,TAP
1976-03-29,14.0,14.25,14.0,14.0,57800,TAP
1976-03-30,14.0,14.1875,13.9375,13.9375,46600,TAP
1976-03-31,13.9375,14.0,13.75,13.75,42400,TAP
1976-04-01,13.75,13.8125,13.5625,13.5625,40600,TAP
1976-04-02,13.5625,13.5625,13.5625,13.5625,0,TAP
1976-04-05,13.3125,13.3125,13.0625,13.0625,48200,TAP
1976-04-06,13.0625,13.25,13.0,13.0,56200,TAP
1976-04-07,13.0,13.1875,12.9375,12.9375,59200,TAP
1976-04-08,12.9375,13.125,12.875,12.875,199200,TAP
1976-04-09,12.875,12.875,12.625,12.625,117400,TAP
1976-04-12,12.75,13.0,12.75,12.75,52800,TAP
1976-04-13,12.9375,13.1875,12.9375,12.9375,28800,TAP
1976-04-14,12.9375,13.1875,12.9375,12.9375,38400,TAP
1976-04-15,13.0,13.25,13.0,13.0,9600,TAP
1976-04-19,13.0625,13.3125,13.0625,13.0625,14800,TAP
1976-04-20,13.625,13.875,13.625,13.625,59400,TAP
1976-04-21,13.9375,14.1875,13.9375,13.9375,81200,TAP
1976-04-22,14.125,14.375,14.125,14.125,82400,TAP
1976-04-23,14.125,14.25,14.0,14.0,25200,TAP
1976-04-26,14.0,14.0,13.75,13.75,35600,TAP
1976-04-27,13.0,13.0,12.75,12.75,67000,TAP
1976-04-28,12.8125,13.0625,12.8125,12.8125,40800,TAP
1976-04-29,12.875,13.125,12.875,12.875,31200,TAP
1976-04-30,12.875,12.9375,12.6875,12.6875,32200,TAP
1976-05-03,12.6875,12.8125,12.5625,12.5625,39400,TAP
1976-05-04,12.5625,12.5625,12.5625,12.5625,0,TAP
1976-05-05,12.6875,12.9375,12.6875,12.6875,87000,TAP
