Date,Open,High,Low,Close,Volume,Ticker
1975-11-17,8.71875,8.71875,8.71875,8.71875,53200,TRV
1975-11-18,8.96875,8.96875,8.96875,8.96875,106800,TRV
1975-11-19,8.5625,8.5625,8.5625,8.5625,170400,TRV
1975-11-20,8.4375,8.4375,8.4375,8.4375,61200,TRV
1975-11-21,8.4375,8.4375,8.4375,8.4375,64000,TRV
1975-11-24,8.40625,8.40625,8.40625,8.40625,88400,TRV
1975-11-25,8.375,8.375,8.375,8.375,75200,TRV
1975-11-26,8.4375,8.4375,8.4375,8.4375,89200,TRV
1975-11-28,8.5,8.5,8.5,8.5,95600,TRV
1975-12-01,8.25,8.25,8.25,8.25,102400,TRV
1975-12-02,7.875,7.875,7.875,7.875,78400,TRV
1975-12-03,7.5,7.5,7.5,7.5,86400,TRV
1975-12-04,7.5,7.5,7.5,7.5,48800,TRV
1975-12-05,7.4375,7.4375,7.4375,7.4375,62800,TRV
1975-12-08,7.4375,7.4375,7.4375,7.4375,87600,TRV
1975-12-09,7.4375,7.4375,7.4375,7.4375,158800,TRV
1975-12-10,7.46875,7.46875,7.46875,7.46875,99600,TRV
1975-12-11,7.5,7.5,7.5,7.5,62400,TRV
1975-12-12,7.875,7.875,7.875,7.875,116400,TRV
1975-12-15,7.84375,7.84375,7.84375,7.84375,170800,TRV
1975-12-16,7.96875,7.96875,7.96875,7.96875,110400,TRV
1975-12-17,8.03125,8.03125,8.03125,8.03125,92800,TRV
1975-12-18,8.0625,8.0625,8.0625,8.0625,81200,TRV
1975-12-19,8.0,8.0,8.0,8.0,130800,TRV
1975-12-22,8.0,8.0,8.0,8.0,67200,TRV
1975-12-23,8.03125,8.03125,8.03125,8.03125,59600,TRV
1975-12-24,7.8125,7.8125,7.8125,7.8125,135200,TRV
1975-12-26,7.84375,7.84375,7.84375,7.84375,46800,TRV
1975-12-29,7.75,7.75,7.75,7.75,52800,TRV
1975-12-30,7.71875,7.71875,7.71875,7.71875,54000,TRV
1975-12-31,7.71875,7.71875,7.71875,7.71875,34800,TRV
1976-01-02,7.875,7.875,7.875,7.875,71600,TRV
1976-01-05,7.96875,7.96875,7.96875,7.96875,104400,TRV
1976-01-06,8.3125,8.3125,8.3125,8.3125,132800,TRV
1976-01-07,8.125,8.125,8.125,8.125,120000,TRV
1976-01-08,8.125,8.125,8.125,8.125,85200,TRV
1976-01-09,8.125,8.125,8.125,8.125,59600,TRV
1976-01-12,8.125,8.125,8.125,8.125,48800,TRV
1976-01-13,8.03125,8.03125,8.03125,8.03125,112400,TRV
1976-01-14,8.125,8.125,8.125,8.125,90000,TRV
1976-01-15,8.0,8.0,8.0,8.0,174000,TRV
1976-01-16,8.0,8.0,8.0,8.0,14400,TRV
1976-01-19,8.03125,8.03125,8.03125,8.03125,56000,TRV
1976-01-20,8.0625,8.0625,8.0625,8.0625,59200,TRV
1976-01-21,8.0,8.0,8.0,8.0,62000,TRV
1976-01-22,7.9375,7.9375,7.9375,7.9375,52800,TRV
1976-01-23,7.875,7.875,7.875,7.875,42800,TRV
1976-01-26,7.53125,7.53125,7.53125,7.53125,84400,TRV
1976-01-27,7.5,7.5,7.5,7.5,272000,TRV
1976-01-28,7.6875,7.6875,7.6875,7.6875,212000,TRV
1976-01-29,8.1875,8.3125,8.1875,8.1875,158400,TRV
1976-01-30,8.125,8.125,8.0,8.0,304400,TRV
1976-02-02,8.125,8.25,8.125,8.125,73600,TRV
1976-02-03,8.15625,8.28125,8.15625,8.15625,66800,TRV
1976-02-04,8.25,8.375,8.25,8.25,184000,TRV
1976-02-05,8.25,8.3125,8.1875,8.1875,64800,TRV
1976-02-06,8.15625,8.15625,8.03125,8.03125,72000,TRV
1976-02-09,8.125,8.25,8.125,8.125,42800,TRV
1976-02-10,8.125,8.15625,8.03125,8.03125,91200,TRV
1976-02-11,8.0625,8.1875,8.0625,8.0625,28800,TRV
1976-02-12,8.125,8.25,8.125,8.125,131200,TRV
1976-02-13,8.125,8.25,8.125,8.125,20400,TRV
1976-02-17,8.125,8.1875,8.0625,8.0625,36000,TRV
1976-02-18,8.0625,8.15625,8.03125,8.03125,79600,TRV
1976-02-19,7.96875,7.96875,7.84375,7.84375,159600,TRV
1976-02-20,7.9375,8.0625,7.9375,7.9375,388000,TRV
1976-02-23,7.9375,8.0625,7.9375,7.9375,223600,TRV
1976-02-24,8.0625,8.1875,8.0625,8.0625,114800,TRV
1976-02-25,8.125,8.25,8.125,8.125,96400,TRV
1976-02-26,8.125,8.125,8.0,8.0,248400,TRV
1976-02-27,7.96875,7.96875,7.84375,7.84375,124000,TRV
1976-03-01,7.84375,7.9375,7.8125,7.8125,76000,TRV
1976-03-02,7.84375,7.96875,7.84375,7.84375,70800,TRV
1976-03-03,7.84375,7.84375,7.71875,7.71875,44400,TRV
1976-03-04,7.71875,7.84375,7.71875,7.71875,57200,TRV
1976-03-05,7.71875,7.8125,7.6875,7.6875,45200,TRV
1976-03-08,7.78125,7.90625,7.78125,7.78125,27600,TRV
1976-03-09,7.9375,8.0625,7.9375,7.9375,37200,TRV
1976-03-10,8.03125,8.15625,8.03125,8.03125,85200,TRV
1976-03-11,8.3125,8.4375,8.3125,8.3125,150800,TRV
1976-03-12,8.3125,8.4375,8.3125,8.3125,92400,TRV
1976-03-15,8.25,8.25,8.125,8.125,89200,TRV
1976-03-16,8.1875,8.3125,8.1875,8.1875,50800,TRV
1976-03-17,8.1875,8.3125,8.1875,8.1875,86400,TRV
1976-03-18,8.1875,8.3125,8.1875,8.1875,93600,TRV
1976-03-19,8.1875,8.3125,8.1875,8.1875,26800,TRV
1976-03-22,8.1875,8.3125,8.1875,8.1875,28800,TRV
1976-03-23,8.46875,8.59375,8.46875,8.46875,210000,TRV
1976-03-24,8.53125,8.65625,8.53125,8.53125,137600,TRV
1976-03-25,8.65625,8.78125,8.65625,8.65625,124000,TRV
1976-03-26,8.625,8.625,8.5,8.5,70000,TRV
1976-03-29,8.5,8.5,8.375,8.375,33600,TRV
1976-03-30,8.375,8.4375,8.3125,8.3125,41200,TRV
1976-03-31,8.3125,8.4375,8.3125,8.3125,18800,TRV
1976-04-01,8.3125,8.4375,8.3125,8.3125,30800,TRV
1976-04-02,8.34375,8.46875,8.34375,8.34375,10000,TRV
1976-04-05,8.59375,8.71875,8.59375,8.59375,79200,TRV
1976-04-06,8.59375,8.6875,8.5625,8.5625,110400,TRV
1976-04-07,8.5625,8.59375,8.46875,8.46875,32800,TRV
1976-04-08,8.46875,8.5,8.375,8.375,55200,TRV
1976-04-09,8.25,8.25,8.125,8.125,104400,TRV
1976-04-12,8.125,8.1875,8.0625,8.0625,71600,TRV
1976-04-13,8.0625,8.125,8.0,8.0,201600,TRV
1976-04-14,8.0625,8.1875,8.0625,8.0625,51600,TRV
1976-04-15,8.0,8.0,7.875,7.875,129600,TRV
1976-04-19,7.9375,8.0625,7.9375,7.9375,36400,TRV
1976-04-20,7.9375,8.03125,7.90625,7.90625,53600,TRV
1976-04-21,7.875,7.875,7.75,7.75,40400,TRV
1976-04-22,7.78125,7.90625,7.78125,7.78125,12800,TRV
1976-04-23,7.78125,7.8125,7.6875,7.6875,105200,TRV
1976-04-26,7.6875,7.78125,7.65625,7.65625,72800,TRV
1976-04-27,7.6875,7.8125,7.6875,7.6875,89600,TRV
1976-04-28,7.75,7.875,7.75,7.75,45200,TRV
1976-04-29,7.65625,7.65625,7.53125,7.53125,180000,TRV
1976-04-30,7.34375,7.34375,7.21875,7.21875,114000,TRV
1976-05-03,7.03125,7.03125,6.90625,6.90625,70800,TRV
1976-05-04,6.90625,6.96875,6.84375,6.84375,60000,TRV
1976-05-05,6.84375,6.96875,6.84375,6.84375,46000,TRV
1976-05-06,7.0,7.125,7.0,7.0,29200,TRV
1976-05-07,7.1875,7.3125,7.1875,7.1875,150400,TRV
1976-05-10,7.1875,7.25,7.125,7.125,108800,TRV
1976-05-11,7.125,7.1875,7.0625,7.0625,90000,TRV
1976-05-12,7.34375,7.46875,7.34375,7.34375,283600,TRV
1976-05-13,7.375,7.5,7.375,7.375,20400,TRV
1976-05-14,7.375,7.4375,7.3125,7.3125,36000,TRV
1976-05-17,7.15625,7.15625,7.03125,7.03125,86000,TRV
1976-05-18,7.03125,7.15625,7.03125,7.03125,58000,TRV
1976-05-19,7.0625,7.1875,7.0625,7.0625,7200,TRV
1976-05-20,7.09375,7.21875,7.09375,7.09375,67600,TRV
1976-05-21,7.09375,7.125,7.0,7.0,91200,TRV
1976-05-24,6.875,6.875,6.75,6.75,56400,TRV
1976-05-25,6.78125,6.90625,6.78125,6.78125,46400,TRV
1976-05-26,6.78125,6.90625,6.78125,6.78125,43200,TRV
1976-05-27,6.78125,6.875,6.75,6.75,6000,TRV
1976-05-28,6.75,6.875,6.75,6.75,7600,TRV
1976-06-01,6.75,6.875,6.75,6.75,21600,TRV
1976-06-02,6.75,6.875,6.75,6.75,36800,TRV
1976-06-03,6.75,6.875,6.75,6.75,4400,TRV
1976-06-04,6.75,6.8125,6.6875,6.6875,41200,TRV
1976-06-07,6.625,6.625,6.5,6.5,31600,TRV
1976-06-08,6.5,6.5625,6.4375,6.4375,46000,TRV
1976-06-09,6.4375,6.46875,6.34375,6.34375,39200,TRV
1976-06-10,6.34375,6.46875,6.34375,6.34375,19600,TRV
1976-06-11,6.34375,6.40625,6.28125,6.28125,72400,TRV
1976-06-14,6.28125,6.40625,6.28125,6.28125,11200,TRV
